hcp_id,specialty,territory_id,region,city_tier,years_in_practice,monthly_patient_volume,category_awareness,brand_awareness,recommendation_rate,digital_engagement,rep_visits_last_quarter,pre_recall_prescriber,competitor_preference
HCP00044,Pediatrician,TR01,North,T1,21,118.0,4,3,0.082,0.697,5,True,Uprise-D3
HCP00045,General Practitioner,TR23,South,T1,18,126.0,3,4,0.074,0.409,6,False,Kidrich D3 Nano
HCP00046,Obstetrician-Gynecologist,TR24,South,T1,10,115.0,4,3,0.075,0.585,1,False,Arachitol Kids
HCP00047,Pediatrician,TR08,North,T2,22,343.0,5,5,0.511,0.532,6,True,Uprise-D3
HCP00048,Pediatrician,TR27,South,T2,40,429.0,4,4,0.233,0.204,6,False,Uprise-D3
HCP00049,Pediatrician,TR24,South,T1,18,820.0,5,4,0.393,0.46,2,True,D3 Must Forte
HCP00050,Neonatologist,TR01,North,T1,10,96.0,4,3,0.457,0.478,6,True,Ultra D3
HCP00051,General Practitioner,TR34,East,T3,14,199.0,3,3,0.07,0.58,1,False,Other / Generic
HCP00052,General Practitioner,TR16,West,T1,37,260.0,3,3,0.294,0.073,5,True,Arachitol Kids
HCP00053,Obstetrician-Gynecologist,TR10,North,T2,19,70.0,3,3,0.033,0.462,2,False,D3 Must Forte
HCP00054,Pediatrician,TR02,North,T1,9,230.0,5,4,0.218,0.707,10,True,D3 Must Forte
HCP00055,Neonatologist,TR14,West,T1,11,307.0,4,2,0.117,0.245,7,True,Ultra D3
HCP00056,Pediatrician,TR13,West,T1,10,144.0,3,4,0.503,0.757,1,True,Arachitol Kids
HCP00057,General Practitioner,TR12,West,T1,9,203.0,3,3,0.115,0.687,3,True,Other / Generic
HCP00058,Pediatrician,TR28,South,T1,22,217.0,5,4,0.252,0.256,8,True,Arachitol Kids
HCP00059,Pediatrician,TR24,South,T1,7,271.0,4,4,0.333,0.601,6,False,Other / Generic
HCP00060,Pediatrician,TR04,North,T2,13,1045.0,3,2,0.108,0.468,7,False,Uprise-D3
HCP00061,Pediatrician,TR26,South,T1,17,465.0,4,3,0.123,0.53,7,False,Arachitol Kids
HCP00062,Pediatrician,TR26,South,T1,1,346.0,5,3,0.063,0.735,5,False,D3 Must Forte
HCP00063,Pediatrician,TR19,Central,T2,11,190.0,3,3,0.447,0.571,9,True,Arachitol Kids
HCP00064,General Practitioner,TR36,East,T2,20,121.0,3,5,0.081,0.536,6,False,Other / Generic
HCP00065,Obstetrician-Gynecologist,TR12,West,T1,15,126.0,5,5,0.144,,0,True,Kidrich D3 Nano
HCP00066,Pediatrician,TR02,North,T1,14,110.0,4,4,0.307,0.664,6,False,Other / Generic
HCP00067,Pediatrician,TR01,North,T1,20,556.0,4,4,0.169,0.673,10,False,Arachitol Kids
HCP00068,General Practitioner,TR13,West,T1,12,323.0,4,4,0.086,0.441,3,False,Ultra D3
HCP00069,General Practitioner,TR18,West,T3,6,76.0,3,3,0.217,0.585,4,False,Ultra D3
HCP00070,General Practitioner,TR02,North,T1,12,136.0,3,4,0.128,0.704,5,False,D3 Must Forte
HCP00071,Neonatologist,TR22,Central,T3,7,459.0,5,4,0.167,0.275,5,True,D3 Must Forte
HCP00072,Pediatrician,TR31,East,T1,33,539.0,4,4,0.138,0.534,5,True,Arachitol Kids
HCP00073,Pediatrician,TR28,South,T1,27,356.0,5,5,0.286,0.474,6,False,Kidrich D3 Nano
HCP00074,Obstetrician-Gynecologist,TR24,South,T1,33,263.0,4,5,0.156,0.354,4,False,Arachitol Kids
HCP00075,General Practitioner,TR24,South,T1,13,96.0,3,4,0.211,0.473,4,True,Ultra D3
HCP00076,General Practitioner,TR26,South,T1,8,279.0,4,2,0.036,0.637,7,True,D3 Must Forte
HCP00077,Neonatologist,TR18,West,T3,9,133.0,4,3,0.09,,11,False,Other / Generic
HCP00078,Pediatrician,TR15,West,T2,14,157.0,4,4,0.337,0.702,6,False,Other / Generic
HCP00079,Pediatrician,TR13,West,T1,24,280.0,4,4,0.519,0.531,5,True,Arachitol Kids
HCP00080,Pediatrician,TR03,North,T2,6,117.0,4,5,0.619,0.47,5,True,Uprise-D3
HCP00081,Obstetrician-Gynecologist,TR21,Central,T3,4,161.0,3,2,0.073,0.527,2,False,Ultra D3
HCP00082,Obstetrician-Gynecologist,TR16,West,T1,13,133.0,4,3,0.152,0.846,7,True,Kidrich D3 Nano
HCP00083,Pediatrician,TR04,North,T2,36,242.0,5,5,0.395,0.5,7,False,Ultra D3
HCP00084,Pediatrician,TR12,West,T1,19,936.0,5,4,0.275,0.423,5,False,Kidrich D3 Nano
HCP00085,General Practitioner,TR28,South,T1,8,119.0,3,4,0.102,0.726,10,False,Uprise-D3
HCP00086,Pediatrician,TR11,North,T3,9,273.0,5,3,0.194,0.816,6,False,Arachitol Kids
HCP00087,Obstetrician-Gynecologist,TR16,West,T1,24,179.0,5,3,0.046,0.443,4,False,Kidrich D3 Nano
HCP00088,Pediatrician,TR05,North,T2,6,147.0,5,3,0.15,0.73,9,False,Arachitol Kids
HCP00089,Obstetrician-Gynecologist,TR06,North,T2,11,61.0,5,4,0.309,,5,False,Ultra D3
HCP00090,General Practitioner,TR27,South,T2,14,68.0,4,3,0.184,0.487,1,True,Ultra D3
HCP00091,Pediatrician,TR02,North,T1,20,312.0,5,5,0.291,0.847,9,True,Arachitol Kids
HCP00092,General Practitioner,TR12,West,T1,3,135.0,3,3,0.068,0.83,2,False,Uprise-D3
HCP00093,General Practitioner,TR36,East,T2,4,216.0,4,3,0.169,0.717,12,True,D3 Must Forte
HCP00094,Pediatrician,TR16,West,T1,2,325.0,5,3,0.051,0.554,1,False,Arachitol Kids
HCP00095,Pediatrician,TR23,South,T1,16,426.0,4,4,0.404,0.484,3,True,Kidrich D3 Nano
HCP00096,Obstetrician-Gynecologist,TR24,South,T1,21,88.0,3,5,0.185,0.205,3,False,Uprise-D3
HCP00097,General Practitioner,TR08,North,T2,13,181.0,2,4,0.093,0.633,4,False,Uprise-D3
HCP00098,General Practitioner,TR14,West,T1,6,232.0,4,4,0.143,0.894,4,False,Uprise-D3
HCP00099,Pediatrician,TR15,West,T2,14,325.0,4,4,0.541,0.761,8,False,D3 Must Forte
HCP00100,General Practitioner,TR10,North,T2,28,100.0,3,2,0.044,,7,False,Arachitol Kids
HCP00101,General Practitioner,TR10,North,T2,40,109.0,4,2,0.027,0.12,9,False,Arachitol Kids
HCP00102,Pediatrician,TR23,South,T1,8,344.0,4,3,0.277,0.798,7,True,Other / Generic
HCP00103,Pediatrician,TR03,North,T2,5,358.0,5,5,0.428,0.646,7,True,Kidrich D3 Nano
HCP00104,Pediatrician,TR04,North,T2,40,291.0,5,5,0.549,0.411,8,False,Uprise-D3
HCP00105,General Practitioner,TR22,Central,T3,10,86.0,4,3,0.022,0.389,5,False,Uprise-D3
HCP00106,Pediatrician,TR16,West,T1,22,101.0,4,5,0.383,0.513,2,False,D3 Must Forte
HCP00107,Obstetrician-Gynecologist,TR23,South,T1,10,121.0,5,4,0.346,0.74,13,True,Arachitol Kids
HCP00108,Pediatrician,TR01,North,T1,22,227.0,4,3,0.24,0.209,5,True,Arachitol Kids
HCP00109,Obstetrician-Gynecologist,TR26,South,T1,6,119.0,4,3,0.069,0.514,1,True,Ultra D3
HCP00110,Pediatrician,TR30,South,T2,4,457.0,4,4,0.523,,9,True,D3 Must Forte
HCP00111,General Practitioner,TR19,Central,T2,40,182.0,3,3,0.054,0.251,6,False,Ultra D3
HCP00112,General Practitioner,TR30,South,T2,13,43.0,4,4,0.252,0.348,3,True,D3 Must Forte
HCP00113,General Practitioner,TR15,West,T2,8,224.0,3,3,0.243,0.619,7,True,Kidrich D3 Nano
HCP00114,Neonatologist,TR02,North,T1,7,295.0,5,4,0.316,0.477,6,True,Other / Generic
HCP00115,Pediatrician,TR14,West,T1,31,482.0,5,5,0.727,0.302,9,True,Arachitol Kids
HCP00116,Pediatrician,TR16,West,T1,16,780.0,4,4,0.72,0.755,11,True,No alternative (DePURA loyal)
HCP00117,Pediatrician,TR31,East,T1,17,808.0,4,5,0.366,0.492,9,False,Kidrich D3 Nano
HCP00118,Pediatrician,TR13,West,T1,37,222.0,3,3,0.189,0.326,6,True,D3 Must Forte
HCP00119,Obstetrician-Gynecologist,TR13,West,T1,20,145.0,5,4,0.229,0.822,3,False,Kidrich D3 Nano
HCP00120,Pediatrician,TR31,East,T1,3,491.0,4,5,0.748,0.611,9,True,No alternative (DePURA loyal)
HCP00121,General Practitioner,TR11,North,T3,15,105.0,3,3,0.269,0.539,2,True,Arachitol Kids
HCP00122,Pediatrician,TR24,South,T1,16,571.0,5,5,0.644,0.325,4,True,Uprise-D3
HCP00123,Neonatologist,TR13,West,T1,4,411.0,4,2,0.265,0.649,3,True,Uprise-D3
HCP00124,Pediatrician,TR34,East,T3,17,341.0,5,3,0.064,0.624,2,False,Uprise-D3
HCP00125,Neonatologist,TR08,North,T2,20,113.0,3,3,0.102,0.32,3,False,Other / Generic
HCP00126,General Practitioner,TR26,South,T1,12,155.0,2,2,0.021,0.615,5,False,Arachitol Kids
HCP00127,Neonatologist,TR20,Central,T2,22,154.0,4,3,0.13,0.263,3,True,Other / Generic
HCP00128,General Practitioner,TR36,East,T2,12,84.0,3,3,0.07,0.491,6,False,Kidrich D3 Nano
HCP00129,Pediatrician,TR36,East,T2,19,599.0,5,5,0.358,0.565,7,False,Kidrich D3 Nano
HCP00130,Obstetrician-Gynecologist,TR28,South,T1,20,70.0,4,5,0.668,0.327,5,True,Uprise-D3
HCP00131,Pediatrician,TR03,North,T2,7,142.0,4,4,0.191,,1,True,Other / Generic
HCP00132,Pediatrician,TR16,West,T1,15,347.0,4,4,0.281,0.618,7,True,Arachitol Kids
HCP00133,Pediatrician,TR30,South,T2,11,172.0,3,5,0.216,0.463,9,False,Arachitol Kids
HCP00134,Obstetrician-Gynecologist,TR24,South,T1,29,210.0,4,5,0.33,0.433,8,False,Uprise-D3
HCP00135,General Practitioner,TR31,East,T1,13,255.0,4,4,0.238,0.543,7,True,Uprise-D3
HCP00136,Pediatrician,TR28,South,T1,1,505.0,4,3,0.381,0.854,5,True,Uprise-D3
HCP00137,Obstetrician-Gynecologist,TR13,West,T1,13,95.0,5,4,0.27,0.585,4,False,Arachitol Kids
HCP00138,Pediatrician,TR08,North,T2,29,304.0,5,4,0.471,0.484,7,True,Kidrich D3 Nano
HCP00139,Pediatrician,TR13,West,T1,10,197.0,4,3,0.471,0.545,4,True,Arachitol Kids
HCP00140,Pediatrician,TR26,South,T1,14,279.0,5,3,0.075,0.521,6,False,Other / Generic
HCP00141,Pediatrician,TR16,West,T1,13,627.0,4,4,0.361,0.621,7,True,Other / Generic
HCP00142,General Practitioner,TR01,North,T1,14,202.0,3,4,0.181,0.767,8,False,Uprise-D3
HCP00143,Pediatrician,TR27,South,T2,9,580.0,5,4,0.095,0.578,8,False,Uprise-D3
HCP00144,Pediatrician,TR01,North,T1,13,385.0,3,4,0.342,0.402,4,True,Other / Generic
HCP00145,Pediatrician,TR15,West,T2,32,272.0,5,3,0.152,0.176,5,False,Other / Generic
HCP00146,Obstetrician-Gynecologist,TR16,West,T1,29,136.0,5,4,0.1,0.727,1,False,Arachitol Kids
HCP00147,General Practitioner,TR18,West,T3,12,173.0,4,1,0.036,0.456,5,False,Kidrich D3 Nano
HCP00148,Pediatrician,TR04,North,T2,2,317.0,5,4,0.268,0.596,11,True,Kidrich D3 Nano
HCP00149,General Practitioner,TR27,South,T2,25,103.0,4,3,0.277,0.184,4,True,Other / Generic
HCP00150,Pediatrician,TR30,South,T2,23,208.0,4,4,0.153,0.342,3,False,Arachitol Kids
HCP00151,Obstetrician-Gynecologist,TR26,South,T1,1,191.0,4,3,0.025,0.507,2,False,Kidrich D3 Nano
HCP00152,Pediatrician,TR34,East,T3,9,693.0,4,2,0.051,0.532,6,False,Arachitol Kids
HCP00153,Pediatrician,TR11,North,T3,16,531.0,4,4,0.403,0.895,3,True,D3 Must Forte
HCP00154,Pediatrician,TR05,North,T2,16,204.0,5,4,0.575,0.547,5,True,D3 Must Forte
HCP00155,Pediatrician,TR02,North,T1,10,470.0,3,4,0.11,0.456,5,False,Uprise-D3
HCP00156,Pediatrician,TR26,South,T1,2,190.0,5,4,0.185,0.685,4,True,Uprise-D3
HCP00157,General Practitioner,TR05,North,T2,33,206.0,5,2,0.052,0.165,6,False,Uprise-D3
HCP00158,Pediatrician,TR33,East,T2,13,380.0,5,4,0.654,0.712,8,True,No alternative (DePURA loyal)
HCP00159,Pediatrician,TR23,South,T1,15,313.0,5,5,0.349,0.651,6,True,Arachitol Kids
HCP00160,General Practitioner,TR28,South,T1,29,105.0,3,3,0.194,0.219,9,False,Arachitol Kids
HCP00161,General Practitioner,TR16,West,T1,9,121.0,3,3,0.054,0.575,3,False,Uprise-D3
HCP00162,Obstetrician-Gynecologist,TR26,South,T1,14,163.0,4,3,0.099,0.578,4,True,Ultra D3
HCP00163,Pediatrician,TR16,West,T1,14,600.0,5,4,0.147,0.45,1,False,Uprise-D3
HCP00164,Obstetrician-Gynecologist,TR20,Central,T2,19,81.0,4,2,0.046,0.347,6,False,Arachitol Kids
HCP00165,General Practitioner,TR28,South,T1,16,133.0,5,2,0.055,0.853,4,True,D3 Must Forte
HCP00166,General Practitioner,TR10,North,T2,5,78.0,5,3,0.12,0.749,6,True,Uprise-D3
HCP00167,Pediatrician,TR31,East,T1,12,302.0,4,5,0.442,0.443,9,True,Other / Generic
HCP00168,Pediatrician,TR26,South,T1,13,300.0,5,3,0.107,0.52,5,False,Kidrich D3 Nano
HCP00169,Pediatrician,TR27,South,T2,4,547.0,3,5,0.243,0.58,1,False,Kidrich D3 Nano
HCP00170,General Practitioner,TR10,North,T2,15,247.0,3,3,0.213,0.492,4,True,Uprise-D3
HCP00171,General Practitioner,TR02,North,T1,22,239.0,3,4,0.055,0.318,6,False,Kidrich D3 Nano
HCP00172,Pediatrician,TR02,North,T1,4,452.0,4,3,0.098,0.575,9,False,Uprise-D3
HCP00173,Pediatrician,TR24,South,T1,12,579.0,4,4,0.247,0.479,5,False,D3 Must Forte
HCP00174,Obstetrician-Gynecologist,TR05,North,T2,16,97.0,5,4,0.116,0.546,2,True,Arachitol Kids
HCP00175,Pediatrician,TR36,East,T2,14,271.0,5,5,0.732,0.537,8,True,No alternative (DePURA loyal)
HCP00176,General Practitioner,TR34,East,T3,2,108.0,2,3,0.134,0.638,1,True,Uprise-D3
HCP00177,Neonatologist,TR01,North,T1,24,106.0,3,2,0.053,0.591,6,False,D3 Must Forte
HCP00178,Pediatrician,TR26,South,T1,28,330.0,3,3,0.162,0.236,4,False,Kidrich D3 Nano
HCP00179,General Practitioner,TR11,North,T3,10,81.0,5,4,0.089,0.477,1,False,Uprise-D3
HCP00180,General Practitioner,TR13,West,T1,26,202.0,3,4,0.177,0.054,6,True,Uprise-D3
HCP00181,Pediatrician,TR10,North,T2,17,209.0,4,3,0.082,0.482,5,True,Arachitol Kids
HCP00182,Pediatrician,TR29,South,T2,5,702.0,5,4,0.343,0.617,6,False,Arachitol Kids
HCP00183,Obstetrician-Gynecologist,TR31,East,T1,12,74.0,4,3,0.128,0.538,3,True,Uprise-D3
HCP00184,Pediatrician,TR01,North,T1,10,319.0,5,3,0.305,0.639,7,True,Arachitol Kids
HCP00185,Pediatrician,TR12,West,T1,7,528.0,4,5,0.52,0.428,4,True,Other / Generic
HCP00186,Pediatrician,TR16,West,T1,7,808.0,5,4,0.034,0.612,2,False,Uprise-D3
HCP00187,General Practitioner,TR19,Central,T2,14,128.0,3,3,0.331,0.593,7,True,Arachitol Kids
HCP00188,Pediatrician,TR02,North,T1,4,224.0,5,5,0.313,0.953,6,False,Arachitol Kids
HCP00189,Pediatrician,TR29,South,T2,14,404.0,4,3,0.306,0.674,5,True,D3 Must Forte
HCP00190,Pediatrician,TR33,East,T2,6,175.0,4,4,0.147,0.661,10,False,Arachitol Kids
HCP00191,Pediatrician,TR15,West,T2,16,549.0,3,4,0.084,0.334,8,False,Uprise-D3
HCP00192,General Practitioner,TR30,South,T2,9,135.0,4,4,0.104,0.432,9,False,Ultra D3
HCP00193,Obstetrician-Gynecologist,TR25,South,T3,21,172.0,4,4,0.103,0.172,7,False,Uprise-D3
HCP00194,Pediatrician,TR23,South,T1,20,148.0,5,4,0.369,0.283,9,True,Kidrich D3 Nano
HCP00195,General Practitioner,TR29,South,T2,13,140.0,4,3,0.098,,1,False,D3 Must Forte
HCP00196,General Practitioner,TR16,West,T1,11,244.0,2,3,0.021,0.36,5,False,Kidrich D3 Nano
HCP00197,General Practitioner,TR20,Central,T2,24,249.0,5,3,0.141,0.488,6,False,Uprise-D3
HCP00198,General Practitioner,TR12,West,T1,10,258.0,4,3,0.047,0.313,6,False,Kidrich D3 Nano
HCP00199,Pediatrician,TR26,South,T1,22,144.0,4,3,0.21,0.489,1,False,Kidrich D3 Nano
HCP00200,General Practitioner,TR05,North,T2,11,113.0,3,5,0.117,0.507,5,False,D3 Must Forte
HCP00201,General Practitioner,TR10,North,T2,16,217.0,3,4,0.104,0.465,3,False,Other / Generic
HCP00202,General Practitioner,TR16,West,T1,15,120.0,4,5,0.23,0.402,2,False,Arachitol Kids
HCP00203,Pediatrician,TR14,West,T1,14,720.0,4,3,0.191,0.746,15,False,Uprise-D3
HCP00204,Pediatrician,TR10,North,T2,18,280.0,3,4,0.568,0.437,9,True,Arachitol Kids
HCP00205,Pediatrician,TR08,North,T2,22,190.0,3,5,0.405,0.423,6,True,D3 Must Forte
HCP00206,Pediatrician,TR31,East,T1,14,854.0,4,4,0.199,0.526,3,True,Arachitol Kids
HCP00207,Pediatrician,TR23,South,T1,14,407.0,5,5,0.266,0.638,6,False,Arachitol Kids
HCP00208,Pediatrician,TR14,West,T1,37,121.0,4,5,0.393,0.533,6,True,Ultra D3
HCP00209,Pediatrician,TR30,South,T2,10,456.0,3,4,0.63,0.673,11,True,No alternative (DePURA loyal)
HCP00210,Pediatrician,TR29,South,T2,8,343.0,4,2,0.127,0.674,1,True,D3 Must Forte
HCP00211,Neonatologist,TR03,North,T2,5,270.0,4,5,0.313,0.649,1,False,Ultra D3
HCP00212,Pediatrician,TR22,Central,T3,9,166.0,4,3,0.096,0.574,1,False,Other / Generic
HCP00213,Pediatrician,TR12,West,T1,7,257.0,3,4,0.129,0.53,3,False,Other / Generic
HCP00214,General Practitioner,TR20,Central,T2,7,112.0,3,4,0.138,0.623,4,True,Arachitol Kids
HCP00215,Pediatrician,TR26,South,T1,17,340.0,4,4,0.444,0.423,6,True,D3 Must Forte
HCP00216,Pediatrician,TR01,North,T1,21,400.0,4,4,0.258,0.34,5,False,Arachitol Kids
HCP00217,Pediatrician,TR18,West,T3,11,344.0,4,4,0.367,0.772,6,True,Uprise-D3
HCP00218,Pediatrician,TR12,West,T1,6,399.0,5,4,0.315,0.528,4,True,Uprise-D3
HCP00219,General Practitioner,TR19,Central,T2,10,74.0,3,4,0.061,0.587,3,False,Arachitol Kids
HCP00220,Pediatrician,TR03,North,T2,9,283.0,5,3,0.272,0.867,4,True,Uprise-D3
HCP00221,Pediatrician,TR28,South,T1,11,393.0,5,5,0.612,0.544,3,False,No alternative (DePURA loyal)
HCP00222,Pediatrician,TR20,Central,T2,21,386.0,3,5,0.196,0.13,11,False,Other / Generic
HCP00223,Pediatrician,TR09,North,T2,14,181.0,5,3,0.284,0.44,8,True,Uprise-D3
HCP00224,General Practitioner,TR28,South,T1,30,192.0,4,4,0.112,0.575,3,False,Arachitol Kids
HCP00225,Pediatrician,TR01,North,T1,8,173.0,4,4,0.336,0.641,6,True,Ultra D3
HCP00226,Pediatrician,TR23,South,T1,10,307.0,5,3,0.101,0.73,4,False,Arachitol Kids
HCP00227,Pediatrician,TR18,West,T3,21,334.0,5,4,0.512,0.374,12,True,D3 Must Forte
HCP00228,General Practitioner,TR01,North,T1,1,229.0,3,4,0.147,0.844,11,False,D3 Must Forte
HCP00229,Pediatrician,TR10,North,T2,4,349.0,5,4,0.111,0.53,7,False,Arachitol Kids
HCP00230,Obstetrician-Gynecologist,TR02,North,T1,8,130.0,5,3,0.186,0.593,8,True,D3 Must Forte
HCP00231,Pediatrician,TR26,South,T1,9,206.0,4,3,0.053,0.67,5,False,Ultra D3
HCP00232,Neonatologist,TR26,South,T1,19,415.0,4,3,0.232,0.511,5,True,Arachitol Kids
HCP00233,Pediatrician,TR02,North,T1,19,288.0,5,4,0.109,0.492,8,False,Uprise-D3
HCP00234,General Practitioner,TR03,North,T2,3,175.0,2,4,0.097,0.755,6,False,Arachitol Kids
HCP00235,Pediatrician,TR31,East,T1,9,439.0,4,4,0.607,0.665,5,True,Ultra D3
HCP00236,Pediatrician,TR08,North,T2,19,539.0,4,5,0.453,0.526,8,True,Arachitol Kids
HCP00237,General Practitioner,TR12,West,T1,22,266.0,4,3,0.127,0.539,1,False,Kidrich D3 Nano
HCP00238,Neonatologist,TR25,South,T3,11,398.0,5,3,0.299,0.857,9,False,D3 Must Forte
HCP00239,General Practitioner,TR02,North,T1,15,553.0,4,4,0.121,0.362,5,False,Kidrich D3 Nano
HCP00240,Pediatrician,TR34,East,T3,20,443.0,4,3,0.404,0.747,8,True,Ultra D3
HCP00241,Pediatrician,TR01,North,T1,24,404.0,3,4,0.36,0.575,4,True,D3 Must Forte
HCP00242,Pediatrician,TR30,South,T2,29,329.0,3,3,0.245,0.411,4,True,Other / Generic
HCP00243,General Practitioner,TR14,West,T1,16,85.0,3,4,0.178,0.445,10,False,Uprise-D3
HCP00244,Pediatrician,TR05,North,T2,5,493.0,5,4,0.264,0.813,5,False,Arachitol Kids
HCP00245,Pediatrician,TR14,West,T1,9,336.0,4,4,0.167,0.526,1,False,Arachitol Kids
HCP00246,Pediatrician,TR35,East,T2,17,275.0,5,4,0.389,0.253,5,True,Arachitol Kids
HCP00247,Neonatologist,TR19,Central,T2,29,278.0,4,4,0.282,0.372,3,False,D3 Must Forte
HCP00248,Pediatrician,TR02,North,T1,4,520.0,5,4,0.089,0.444,6,False,D3 Must Forte
HCP00249,Pediatrician,TR33,East,T2,32,234.0,3,3,0.131,0.323,5,False,Uprise-D3
HCP00250,Pediatrician,TR05,North,T2,5,284.0,4,4,0.492,0.407,5,True,Other / Generic
HCP00251,Pediatrician,TR01,North,T1,21,543.0,5,3,0.396,0.368,9,True,D3 Must Forte
HCP00252,Pediatrician,TR01,North,T1,11,191.0,4,3,0.224,0.544,12,False,Ultra D3
HCP00253,General Practitioner,TR29,South,T2,6,109.0,4,3,0.342,0.298,4,True,D3 Must Forte
HCP00254,Pediatrician,TR05,North,T2,11,508.0,5,4,0.385,0.487,2,True,Kidrich D3 Nano
HCP00255,Pediatrician,TR07,North,T3,8,175.0,4,3,0.077,0.511,2,False,Uprise-D3
HCP00256,Pediatrician,TR34,East,T3,7,445.0,4,3,0.417,0.353,2,True,Other / Generic
HCP00257,Pediatrician,TR23,South,T1,10,426.0,5,4,0.434,0.557,8,True,Kidrich D3 Nano
