date,territory_id,territory,region,state,city_tier,channel,product,units_sold,revenue,discount_pct,stock_availability,distributor_count,market_phase
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,Pharmacy Chain,DePURA Kids 10 ml,7,597.24,0.0971,0.85,3,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,Pharmacy Chain,DePURA Kids 15 ml,18,2195.45,0.0829,0.89,3,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,Retail Chemist,DePURA Kids 10 ml,91,8264.02,0.039,0.963,3,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,Retail Chemist,DePURA Kids 15 ml,160,20547.69,0.0344,0.907,3,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,E-Pharmacy,DePURA Kids 10 ml,26,2051.92,0.1649,0.937,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,E-Pharmacy,DePURA Kids 15 ml,102,11539.05,0.1494,0.93,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,Hospital Pharmacy,DePURA Kids 10 ml,38,3548.35,0.0119,0.948,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,Hospital Pharmacy,DePURA Kids 15 ml,79,10251.71,0.0243,0.906,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,Pharmacy Chain,DePURA Kids 10 ml,34,2993.61,0.0683,0.945,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,Pharmacy Chain,DePURA Kids 15 ml,97,11863.59,0.0804,0.919,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,Retail Chemist,DePURA Kids 10 ml,132,12015.87,0.0367,0.916,7,pre_recall
2023-01-01,TR08,Chandigarh-Mohali,North,Chandigarh,T2,Retail Chemist,DePURA Kids 15 ml,455,58625.03,0.0312,0.955,7,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,E-Pharmacy,DePURA Kids 10 ml,25,2056.62,0.1295,0.92,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,E-Pharmacy,DePURA Kids 15 ml,92,9933.69,0.1882,0.914,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,Hospital Pharmacy,DePURA Kids 10 ml,38,3512.62,0.0218,0.9,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,Hospital Pharmacy,DePURA Kids 15 ml,123,16122.63,0.0144,0.883,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,Pharmacy Chain,DePURA Kids 10 ml,38,3368.72,0.0619,0.973,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,Pharmacy Chain,DePURA Kids 15 ml,122,15537.74,0.0424,0.914,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,Retail Chemist,DePURA Kids 10 ml,136,12312.21,0.042,0.898,6,pre_recall
2023-01-01,TR09,Ludhiana-Amritsar,North,Punjab,T2,Retail Chemist,DePURA Kids 15 ml,510,64932.13,0.0427,0.849,6,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,E-Pharmacy,DePURA Kids 10 ml,14,1119.41,0.1539,0.997,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,E-Pharmacy,DePURA Kids 15 ml,35,3948.75,0.1517,0.949,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,Hospital Pharmacy,DePURA Kids 10 ml,18,1676.17,0.0146,1.0,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,Hospital Pharmacy,DePURA Kids 15 ml,58,7410.6,0.0393,0.91,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,Pharmacy Chain,DePURA Kids 10 ml,16,1359.99,0.1005,0.93,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,Pharmacy Chain,DePURA Kids 15 ml,54,6604.45,0.0804,0.934,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,Retail Chemist,DePURA Kids 10 ml,91,8144.52,0.0529,0.913,7,pre_recall
2023-01-01,TR10,Jaipur,North,Rajasthan,T2,Retail Chemist,DePURA Kids 15 ml,279,35295.78,0.0488,0.971,7,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,E-Pharmacy,DePURA Kids 10 ml,13,1046.89,0.1478,0.939,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,E-Pharmacy,DePURA Kids 15 ml,25,2818.39,0.1524,0.966,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,Hospital Pharmacy,DePURA Kids 10 ml,24,2221.5,0.0205,0.918,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,Hospital Pharmacy,DePURA Kids 15 ml,43,5521.26,0.0346,0.896,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,Pharmacy Chain,DePURA Kids 10 ml,12,1054.26,0.0703,0.908,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,Pharmacy Chain,DePURA Kids 15 ml,33,4072.72,0.0721,0.897,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,Retail Chemist,DePURA Kids 10 ml,100,9117.48,0.0352,0.87,6,pre_recall
2023-01-01,TR11,Dehradun,North,Uttarakhand,T3,Retail Chemist,DePURA Kids 15 ml,209,26743.71,0.0379,0.88,6,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,E-Pharmacy,DePURA Kids 10 ml,31,2494.28,0.1486,0.995,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,E-Pharmacy,DePURA Kids 15 ml,164,18736.48,0.141,0.962,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,Hospital Pharmacy,DePURA Kids 10 ml,28,2599.59,0.0175,0.901,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,Hospital Pharmacy,DePURA Kids 15 ml,152,19958.6,0.0127,0.983,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,Pharmacy Chain,DePURA Kids 10 ml,56,4855.32,0.0825,1.0,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,Pharmacy Chain,DePURA Kids 15 ml,233,28768.15,0.0717,0.942,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,Retail Chemist,DePURA Kids 10 ml,127,11599.55,0.0335,0.916,10,pre_recall
2023-01-01,TR12,Mumbai West,West,Maharashtra,T1,Retail Chemist,DePURA Kids 15 ml,481,60722.06,0.0508,0.919,10,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,E-Pharmacy,DePURA Kids 10 ml,104,8203.38,0.1653,1.0,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,E-Pharmacy,DePURA Kids 15 ml,598,65460.71,0.1769,0.94,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,Hospital Pharmacy,DePURA Kids 10 ml,96,8974.93,0.0107,0.96,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,Hospital Pharmacy,DePURA Kids 15 ml,380,49199.32,0.0265,0.931,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,Pharmacy Chain,DePURA Kids 10 ml,131,11664.76,0.0577,0.946,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,Pharmacy Chain,DePURA Kids 15 ml,647,78621.13,0.0863,1.0,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,Retail Chemist,DePURA Kids 10 ml,236,21281.56,0.0458,0.967,14,pre_recall
2023-01-01,TR13,Mumbai Thane,West,Maharashtra,T1,Retail Chemist,DePURA Kids 15 ml,1345,173461.85,0.0303,0.984,14,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,E-Pharmacy,DePURA Kids 10 ml,54,4377.67,0.1421,0.967,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,E-Pharmacy,DePURA Kids 15 ml,302,34041.26,0.1525,0.847,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,Hospital Pharmacy,DePURA Kids 10 ml,58,5341.05,0.0255,0.871,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,Hospital Pharmacy,DePURA Kids 15 ml,209,27171.88,0.0225,0.894,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,Pharmacy Chain,DePURA Kids 10 ml,96,8467.96,0.0666,0.851,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,Pharmacy Chain,DePURA Kids 15 ml,375,46681.44,0.064,0.904,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,Retail Chemist,DePURA Kids 10 ml,180,16256.22,0.0443,0.882,11,pre_recall
2023-01-01,TR14,Pune,West,Maharashtra,T1,Retail Chemist,DePURA Kids 15 ml,979,123429.65,0.0521,0.958,11,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,E-Pharmacy,DePURA Kids 10 ml,26,2121.24,0.1367,0.902,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,E-Pharmacy,DePURA Kids 15 ml,75,8479.13,0.15,0.938,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,Hospital Pharmacy,DePURA Kids 10 ml,33,3049.81,0.022,0.949,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,Hospital Pharmacy,DePURA Kids 15 ml,115,14645.87,0.0424,0.932,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,Pharmacy Chain,DePURA Kids 10 ml,34,3060.95,0.0473,0.922,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,Pharmacy Chain,DePURA Kids 15 ml,106,12890.35,0.0857,0.892,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,Retail Chemist,DePURA Kids 10 ml,139,12697.17,0.0334,0.901,10,pre_recall
2023-01-01,TR15,Nagpur,West,Maharashtra,T2,Retail Chemist,DePURA Kids 15 ml,372,47361.11,0.0427,0.911,10,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,E-Pharmacy,DePURA Kids 10 ml,88,7012.56,0.1567,0.919,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,E-Pharmacy,DePURA Kids 15 ml,370,41536.65,0.1559,0.978,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,Hospital Pharmacy,DePURA Kids 10 ml,69,6288.59,0.0356,0.888,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,Hospital Pharmacy,DePURA Kids 15 ml,284,37409.17,0.0096,0.891,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,Pharmacy Chain,DePURA Kids 10 ml,104,9386.25,0.0449,0.877,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,Pharmacy Chain,DePURA Kids 15 ml,553,66453.78,0.0965,0.893,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,Retail Chemist,DePURA Kids 10 ml,274,25022.67,0.0336,0.888,16,pre_recall
2023-01-01,TR16,Ahmedabad,West,Gujarat,T1,Retail Chemist,DePURA Kids 15 ml,1033,130850.09,0.0476,0.882,16,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,E-Pharmacy,DePURA Kids 10 ml,35,2888.56,0.1267,0.981,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,E-Pharmacy,DePURA Kids 15 ml,84,9564.46,0.1439,0.9,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,Hospital Pharmacy,DePURA Kids 10 ml,24,2220.35,0.021,0.83,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,Hospital Pharmacy,DePURA Kids 15 ml,93,12012.62,0.0288,0.895,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,Pharmacy Chain,DePURA Kids 10 ml,34,2954.5,0.0805,0.867,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,Pharmacy Chain,DePURA Kids 15 ml,119,14440.83,0.0876,0.944,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,Retail Chemist,DePURA Kids 10 ml,121,11022.22,0.0361,0.891,5,pre_recall
2023-01-01,TR17,Surat-Vadodara,West,Gujarat,T2,Retail Chemist,DePURA Kids 15 ml,457,57645.75,0.0516,0.85,5,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,E-Pharmacy,DePURA Kids 10 ml,18,1435.13,0.1563,0.966,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,E-Pharmacy,DePURA Kids 15 ml,57,6066.2,0.1998,0.978,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,Hospital Pharmacy,DePURA Kids 10 ml,32,3024.0,0.0,0.922,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,Hospital Pharmacy,DePURA Kids 15 ml,87,11096.21,0.041,0.842,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,Pharmacy Chain,DePURA Kids 10 ml,22,1935.48,0.069,0.9,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,Pharmacy Chain,DePURA Kids 15 ml,51,6273.8,0.0751,0.92,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,Retail Chemist,DePURA Kids 10 ml,218,19847.13,0.0366,0.989,7,pre_recall
2023-01-01,TR18,Rajkot,West,Gujarat,T3,Retail Chemist,DePURA Kids 15 ml,408,51800.41,0.0454,0.898,7,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,E-Pharmacy,DePURA Kids 10 ml,48,3868.1,0.1472,0.892,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,E-Pharmacy,DePURA Kids 15 ml,136,15078.76,0.1664,0.901,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,Hospital Pharmacy,DePURA Kids 10 ml,57,5272.77,0.0211,0.897,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,Hospital Pharmacy,DePURA Kids 15 ml,182,23864.96,0.0141,0.874,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,Pharmacy Chain,DePURA Kids 10 ml,53,4542.18,0.0931,0.927,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,Pharmacy Chain,DePURA Kids 15 ml,165,20387.46,0.071,0.86,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,Retail Chemist,DePURA Kids 10 ml,202,18357.37,0.0383,0.821,6,pre_recall
2023-01-01,TR19,Indore,Central,Madhya Pradesh,T2,Retail Chemist,DePURA Kids 15 ml,714,91858.44,0.0327,0.897,6,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,E-Pharmacy,DePURA Kids 10 ml,17,1357.56,0.155,0.921,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,E-Pharmacy,DePURA Kids 15 ml,53,5991.5,0.15,0.904,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,Hospital Pharmacy,DePURA Kids 10 ml,23,2127.04,0.0214,0.962,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,Hospital Pharmacy,DePURA Kids 15 ml,82,10781.29,0.0114,0.872,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,Pharmacy Chain,DePURA Kids 10 ml,21,1814.71,0.0856,0.896,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,Pharmacy Chain,DePURA Kids 15 ml,68,8152.4,0.0986,0.884,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,Retail Chemist,DePURA Kids 10 ml,105,9331.31,0.0596,0.939,3,pre_recall
2023-01-01,TR20,Bhopal,Central,Madhya Pradesh,T2,Retail Chemist,DePURA Kids 15 ml,262,33852.4,0.0285,0.854,3,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,E-Pharmacy,DePURA Kids 10 ml,14,1133.95,0.1429,0.968,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,E-Pharmacy,DePURA Kids 15 ml,38,4299.78,0.1492,0.992,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,Hospital Pharmacy,DePURA Kids 10 ml,30,2833.96,0.0004,0.964,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,Hospital Pharmacy,DePURA Kids 15 ml,67,8623.91,0.0322,0.937,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,Pharmacy Chain,DePURA Kids 10 ml,16,1377.22,0.0891,0.987,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,Pharmacy Chain,DePURA Kids 15 ml,39,4608.56,0.1115,0.949,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,Retail Chemist,DePURA Kids 10 ml,174,15720.38,0.0439,0.934,5,pre_recall
2023-01-01,TR21,Jabalpur,Central,Madhya Pradesh,T3,Retail Chemist,DePURA Kids 15 ml,396,49481.82,0.0605,0.949,5,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,E-Pharmacy,DePURA Kids 10 ml,17,1380.54,0.1407,0.938,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,E-Pharmacy,DePURA Kids 15 ml,48,5395.56,0.1548,0.923,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,Hospital Pharmacy,DePURA Kids 10 ml,38,3489.97,0.0281,0.892,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,Hospital Pharmacy,DePURA Kids 15 ml,91,11678.5,0.0351,0.88,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,Pharmacy Chain,DePURA Kids 10 ml,20,1755.18,0.0713,0.869,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,Pharmacy Chain,DePURA Kids 15 ml,54,6470.29,0.0991,0.868,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,Retail Chemist,DePURA Kids 10 ml,194,17540.11,0.0432,0.854,6,pre_recall
2023-01-01,TR22,Raipur,Central,Chhattisgarh,T3,Retail Chemist,DePURA Kids 15 ml,408,51755.8,0.0462,0.924,6,pre_recall
2023-01-01,TR23,Bengaluru North,South,Karnataka,T1,E-Pharmacy,DePURA Kids 10 ml,89,7067.69,0.1597,0.952,11,pre_recall
