consumer_id,child_age_group,region,city_tier,awareness,price_sensitivity,brand_trust,adherence_score,current_brand,consumer_segment
CON00095,1-5 years,North,T1,5,4.0,5,0.623,Other brand,Price-sensitive
CON00096,6-12 years,East,T3,4,4.0,5,0.546,DePURA Kids,Price-sensitive
CON00097,6-12 years,Central,T2,4,4.0,4,0.46,Other brand,Price-sensitive
CON00098,6-12 years,East,T1,3,3.0,5,0.54,DePURA Kids,Convenience-driven
CON00099,0-12 months,South,T3,4,4.0,5,0.597,Other brand,Price-sensitive
CON00100,0-12 months,East,T3,4,2.0,4,0.647,DePURA Kids,Mainstream
CON00101,6-12 years,Central,T3,4,3.0,1,0.699,Other brand,Mainstream
CON00102,0-12 months,West,T1,4,4.0,3,0.79,Other brand,Price-sensitive
CON00103,0-12 months,North,T1,4,3.0,5,0.796,Other brand,Health-conscious
CON00104,0-12 months,North,T3,2,5.0,5,0.76,DePURA Kids,Low-awareness
CON00105,1-5 years,East,T3,5,3.0,3,0.855,Not currently buying,Mainstream
CON00106,6-12 years,East,T2,5,3.0,3,0.563,Not currently buying,Mainstream
CON00107,0-12 months,North,T1,3,3.0,4,0.65,Other brand,Mainstream
CON00108,0-12 months,North,T3,3,5.0,4,0.727,Not currently buying,Price-sensitive
CON00109,6-12 years,North,T2,4,2.0,4,0.646,Not currently buying,Mainstream
CON00110,0-12 months,Central,T2,4,5.0,4,0.661,Other brand,Price-sensitive
CON00111,6-12 years,West,T2,3,4.0,4,0.533,DePURA Kids,Price-sensitive
CON00112,1-5 years,East,T2,3,3.0,4,0.749,DePURA Kids,Health-conscious
CON00113,1-5 years,West,T1,4,4.0,5,0.429,DePURA Kids,Price-sensitive
CON00114,6-12 years,South,T1,4,3.0,4,0.49,Other brand,Convenience-driven
CON00115,0-12 months,South,T2,2,4.0,3,0.418,Other brand,Low-awareness
CON00116,6-12 years,North,T1,3,3.0,4,0.681,DePURA Kids,Mainstream
CON00117,1-5 years,South,T1,5,3.0,3,0.786,DePURA Kids,Mainstream
CON00118,1-5 years,South,T1,5,,3,0.457,DePURA Kids,Mainstream
CON00119,0-12 months,East,T3,5,3.0,4,0.797,DePURA Kids,Health-conscious
CON00120,6-12 years,East,T2,4,3.0,5,0.867,Not currently buying,Health-conscious
CON00121,0-12 months,Central,T3,3,5.0,4,0.53,Other brand,Price-sensitive
CON00122,0-12 months,South,T2,4,4.0,4,0.762,DePURA Kids,Price-sensitive
CON00123,0-12 months,East,T2,4,2.0,4,0.484,Other brand,Mainstream
CON00124,0-12 months,East,T1,5,4.0,4,0.782,Not currently buying,Price-sensitive
CON00125,13-18 years,South,T1,5,3.0,3,0.585,Other brand,Mainstream
CON00126,1-5 years,North,T2,4,5.0,5,0.483,Not currently buying,Price-sensitive
CON00127,1-5 years,West,T1,3,5.0,4,0.512,Other brand,Price-sensitive
CON00128,1-5 years,East,T1,4,5.0,5,0.596,Other brand,Price-sensitive
CON00129,1-5 years,North,T1,5,4.0,4,0.468,Other brand,Price-sensitive
CON00130,6-12 years,East,T1,4,3.0,3,0.612,Other brand,Convenience-driven
CON00131,0-12 months,South,T1,3,2.0,4,0.703,DePURA Kids,Convenience-driven
CON00132,6-12 years,South,T2,4,3.0,3,0.768,Other brand,Mainstream
CON00133,0-12 months,West,T2,3,3.0,5,0.449,Not currently buying,Mainstream
CON00134,6-12 years,West,T1,5,4.0,4,0.583,DePURA Kids,Price-sensitive
CON00135,13-18 years,East,T2,3,3.0,4,0.858,Other brand,Health-conscious
CON00136,0-12 months,South,T1,4,4.0,3,0.289,Other brand,Price-sensitive
CON00137,0-12 months,South,T1,3,3.0,5,0.557,Not currently buying,Mainstream
CON00138,0-12 months,East,T2,3,3.0,4,0.854,Other brand,Health-conscious
CON00139,0-12 months,West,T3,4,5.0,4,0.647,Other brand,Price-sensitive
CON00140,1-5 years,North,T1,3,4.0,4,0.627,Not currently buying,Price-sensitive
CON00141,1-5 years,North,T3,3,4.0,4,0.376,Other brand,Price-sensitive
CON00142,1-5 years,South,T1,5,4.0,4,0.755,Other brand,Price-sensitive
CON00143,1-5 years,South,T1,3,5.0,3,0.457,Not currently buying,Price-sensitive
CON00144,1-5 years,Central,T2,5,4.0,3,0.558,Not currently buying,Price-sensitive
CON00145,6-12 years,South,T1,5,3.0,4,0.407,Other brand,Convenience-driven
CON00146,0-12 months,South,T1,3,2.0,3,0.846,Not currently buying,Convenience-driven
CON00147,0-12 months,North,T1,1,2.0,4,0.66,DePURA Kids,Low-awareness
CON00148,1-5 years,West,T3,3,4.0,3,0.711,Other brand,Price-sensitive
CON00149,6-12 years,East,T1,4,2.0,3,0.499,Not currently buying,Convenience-driven
CON00150,13-18 years,North,T1,2,2.0,4,0.471,Other brand,Low-awareness
CON00151,1-5 years,South,T3,3,3.0,4,0.472,Other brand,Mainstream
CON00152,0-12 months,Central,T3,4,3.0,4,0.893,Other brand,Health-conscious
CON00153,1-5 years,South,T1,3,4.0,3,0.49,Other brand,Price-sensitive
CON00154,1-5 years,East,T3,3,3.0,2,0.513,Other brand,Mainstream
CON00155,1-5 years,East,T1,4,4.0,3,0.316,Other brand,Price-sensitive
CON00156,0-12 months,South,T2,4,3.0,4,0.978,DePURA Kids,Convenience-driven
CON00157,6-12 years,West,T1,3,3.0,3,0.519,Other brand,Mainstream
CON00158,1-5 years,North,T3,3,4.0,4,0.387,Other brand,Price-sensitive
CON00159,1-5 years,South,T1,3,3.0,3,0.638,Other brand,Mainstream
CON00160,0-12 months,South,T1,5,1.0,3,0.829,Other brand,Mainstream
CON00161,0-12 months,North,T2,4,5.0,3,0.564,Other brand,Price-sensitive
CON00162,1-5 years,South,T2,4,4.0,4,0.763,Not currently buying,Price-sensitive
CON00163,13-18 years,South,T2,3,2.0,4,0.397,Other brand,Mainstream
CON00164,0-12 months,Central,T3,5,4.0,2,0.445,Not currently buying,Price-sensitive
CON00165,13-18 years,East,T1,5,3.0,5,0.677,Other brand,Mainstream
CON00166,6-12 years,East,T3,5,,5,0.661,Not currently buying,Convenience-driven
CON00167,1-5 years,North,T3,4,4.0,2,0.38,Other brand,Price-sensitive
CON00168,1-5 years,North,T2,4,4.0,4,0.832,DePURA Kids,Price-sensitive
CON00169,1-5 years,North,T2,4,3.0,4,0.436,Not currently buying,Mainstream
CON00170,0-12 months,East,T2,4,4.0,3,0.663,Not currently buying,Price-sensitive
CON00171,0-12 months,North,T2,4,2.0,5,0.468,Not currently buying,Mainstream
CON00172,1-5 years,Central,T3,3,4.0,5,0.799,DePURA Kids,Price-sensitive
CON00173,1-5 years,North,T2,2,3.0,4,0.22,DePURA Kids,Low-awareness
CON00174,1-5 years,South,T1,3,3.0,4,0.631,Other brand,Convenience-driven
CON00175,0-12 months,West,T1,5,3.0,3,0.916,Other brand,Convenience-driven
CON00176,0-12 months,North,T2,4,2.0,5,0.934,Other brand,Convenience-driven
CON00177,0-12 months,South,T1,5,4.0,5,0.661,Other brand,Price-sensitive
CON00178,6-12 years,West,T3,3,5.0,3,0.417,Other brand,Price-sensitive
CON00179,0-12 months,West,T3,3,3.0,4,0.658,Other brand,Convenience-driven
CON00180,1-5 years,East,T2,2,4.0,3,0.507,Other brand,Low-awareness
CON00181,0-12 months,West,T1,3,5.0,5,0.634,Not currently buying,Price-sensitive
CON00182,1-5 years,East,T2,4,3.0,5,0.584,DePURA Kids,Convenience-driven
CON00183,1-5 years,South,T2,3,4.0,4,0.678,Not currently buying,Price-sensitive
CON00184,1-5 years,North,T2,4,4.0,4,0.596,Not currently buying,Price-sensitive
CON00185,6-12 years,West,T1,4,2.0,4,0.487,Other brand,Mainstream
CON00186,0-12 months,West,T1,4,,4,0.777,Not currently buying,Health-conscious
CON00187,1-5 years,South,T2,3,5.0,5,0.448,Not currently buying,Price-sensitive
CON00188,0-12 months,West,T1,2,3.0,4,0.548,Other brand,Low-awareness
CON00189,0-12 months,West,T1,4,4.0,4,0.578,Other brand,Price-sensitive
CON00190,1-5 years,South,T2,3,4.0,3,0.509,Other brand,Price-sensitive
CON00191,0-12 months,South,T1,3,2.0,4,0.804,Other brand,Health-conscious
CON00192,0-12 months,South,T2,3,4.0,5,0.504,Not currently buying,Price-sensitive
CON00193,1-5 years,Central,T2,3,3.0,5,0.875,Other brand,Convenience-driven
CON00194,13-18 years,South,T2,5,3.0,4,0.601,Other brand,Mainstream
CON00195,0-12 months,South,T1,4,2.0,4,0.881,DePURA Kids,Health-conscious
CON00196,1-5 years,East,T1,5,2.0,5,0.671,DePURA Kids,Mainstream
CON00197,0-12 months,South,T1,4,3.0,4,0.971,DePURA Kids,Convenience-driven
CON00198,6-12 years,South,T1,3,1.0,5,0.788,Other brand,Health-conscious
CON00199,0-12 months,South,T1,3,3.0,5,0.409,DePURA Kids,Mainstream
CON00200,0-12 months,West,T1,5,2.0,5,0.997,Other brand,Convenience-driven
CON00201,0-12 months,South,T1,5,2.0,5,0.728,DePURA Kids,Convenience-driven
CON00202,1-5 years,East,T2,3,3.0,2,0.731,Other brand,Convenience-driven
CON00203,1-5 years,East,T3,3,3.0,4,0.355,DePURA Kids,Mainstream
CON00204,6-12 years,North,T2,3,3.0,4,0.66,Other brand,Mainstream
CON00205,6-12 years,West,T2,4,2.0,3,0.594,Other brand,Mainstream
CON00206,0-12 months,North,T2,3,5.0,4,0.451,Not currently buying,Price-sensitive
CON00207,0-12 months,South,T1,3,1.0,3,0.698,Other brand,Mainstream
CON00208,1-5 years,Central,T3,5,3.0,3,0.688,Other brand,Mainstream
CON00209,1-5 years,East,T1,5,2.0,3,0.562,DePURA Kids,Mainstream
CON00210,0-12 months,North,T2,3,4.0,4,0.905,DePURA Kids,Price-sensitive
CON00211,1-5 years,South,T1,4,3.0,4,0.544,Not currently buying,Mainstream
CON00212,6-12 years,West,T3,4,4.0,4,0.378,DePURA Kids,Price-sensitive
CON00213,6-12 years,South,T1,3,3.0,3,0.67,Other brand,Mainstream
CON00214,6-12 years,South,T2,5,2.0,5,1.0,Not currently buying,Health-conscious
CON00215,13-18 years,East,T1,4,2.0,2,0.536,Other brand,Convenience-driven
CON00216,1-5 years,North,T1,3,2.0,5,0.654,Other brand,Convenience-driven
CON00217,0-12 months,East,T1,4,4.0,2,0.228,Other brand,Price-sensitive
CON00218,0-12 months,East,T2,5,4.0,4,0.674,Other brand,Price-sensitive
CON00219,1-5 years,South,T1,4,3.0,4,0.917,DePURA Kids,Convenience-driven
CON00220,1-5 years,North,T2,3,5.0,4,0.609,DePURA Kids,Price-sensitive
CON00221,1-5 years,West,T1,3,,4,0.4,Other brand,Mainstream
CON00222,6-12 years,North,T2,4,2.0,4,0.536,Other brand,Mainstream
CON00223,0-12 months,East,T2,3,3.0,5,0.653,Other brand,Convenience-driven
CON00224,1-5 years,West,T1,4,5.0,3,0.525,Other brand,Price-sensitive
CON00225,1-5 years,East,T3,4,4.0,4,0.264,Not currently buying,Price-sensitive
CON00226,6-12 years,South,T1,5,3.0,4,0.767,DePURA Kids,Health-conscious
CON00227,0-12 months,West,T1,3,4.0,4,0.854,Other brand,Price-sensitive
CON00228,1-5 years,North,T3,4,5.0,2,0.761,Other brand,Price-sensitive
CON00229,0-12 months,West,T2,5,3.0,5,0.767,DePURA Kids,Health-conscious
CON00230,1-5 years,West,T1,4,4.0,4,0.503,Other brand,Price-sensitive
CON00231,0-12 months,Central,T3,5,5.0,3,0.486,Other brand,Price-sensitive
CON00232,1-5 years,North,T1,3,3.0,4,0.888,Not currently buying,Convenience-driven
CON00233,0-12 months,South,T1,4,3.0,4,0.611,DePURA Kids,Mainstream
CON00234,1-5 years,East,T1,5,4.0,4,0.696,Other brand,Price-sensitive
CON00235,6-12 years,North,T2,5,3.0,4,0.555,DePURA Kids,Mainstream
CON00236,1-5 years,West,T1,4,2.0,5,0.591,Not currently buying,Mainstream
CON00237,6-12 years,East,T3,4,3.0,4,0.65,DePURA Kids,Mainstream
CON00238,6-12 years,South,T1,4,3.0,5,0.476,Not currently buying,Mainstream
CON00239,6-12 years,North,T1,5,3.0,4,0.76,Other brand,Health-conscious
CON00240,0-12 months,West,T1,3,2.0,3,0.526,Not currently buying,Mainstream
CON00241,1-5 years,North,T2,4,3.0,4,0.6,Not currently buying,Convenience-driven
CON00242,1-5 years,North,T2,3,2.0,5,0.58,DePURA Kids,Mainstream
CON00243,1-5 years,South,T1,5,2.0,4,0.228,Not currently buying,Convenience-driven
CON00244,1-5 years,North,T1,4,2.0,5,0.62,Other brand,Convenience-driven
CON00245,0-12 months,West,T1,5,3.0,4,0.897,Other brand,Health-conscious
CON00246,0-12 months,North,T2,2,3.0,4,0.966,Not currently buying,Low-awareness
CON00247,6-12 years,South,T1,4,4.0,5,0.806,DePURA Kids,Price-sensitive
CON00248,0-12 months,West,T2,4,4.0,4,0.668,Other brand,Price-sensitive
CON00249,0-12 months,West,T3,3,2.0,5,0.855,Not currently buying,Convenience-driven
CON00250,0-12 months,North,T2,2,3.0,4,0.669,Not currently buying,Low-awareness
CON00251,0-12 months,East,T3,2,4.0,3,0.99,Other brand,Low-awareness
CON00252,1-5 years,East,T1,2,3.0,3,0.837,Other brand,Low-awareness
CON00253,1-5 years,South,T1,5,2.0,4,0.977,Other brand,Health-conscious
CON00254,0-12 months,South,T2,3,3.0,3,0.586,Not currently buying,Mainstream
CON00255,0-12 months,East,T2,3,4.0,4,0.912,Other brand,Price-sensitive
CON00256,0-12 months,Central,T3,4,4.0,4,0.445,Other brand,Price-sensitive
CON00257,0-12 months,East,T1,5,3.0,3,0.854,DePURA Kids,Convenience-driven
CON00258,6-12 years,East,T1,5,2.0,2,0.45,Other brand,Mainstream
CON00259,13-18 years,West,T3,4,3.0,5,0.546,Other brand,Mainstream
CON00260,0-12 months,North,T2,3,2.0,3,0.568,Other brand,Mainstream
CON00261,0-12 months,Central,T3,4,4.0,3,0.89,Not currently buying,Price-sensitive
CON00262,13-18 years,South,T1,4,3.0,5,0.604,Other brand,Convenience-driven
CON00263,13-18 years,South,T3,3,3.0,3,0.42,Other brand,Mainstream
CON00264,0-12 months,South,T1,3,3.0,4,0.784,Not currently buying,Health-conscious
CON00265,0-12 months,North,T3,4,4.0,4,1.0,Other brand,Price-sensitive
CON00266,0-12 months,North,T2,3,2.0,3,0.844,Other brand,Mainstream
CON00267,0-12 months,West,T1,4,3.0,5,0.865,Not currently buying,Health-conscious
CON00268,0-12 months,Central,T3,3,3.0,3,0.672,Other brand,Mainstream
CON00269,6-12 years,North,T2,5,4.0,4,0.779,DePURA Kids,Price-sensitive
CON00270,1-5 years,North,T2,4,3.0,3,0.622,Not currently buying,Mainstream
CON00271,1-5 years,East,T2,5,1.0,5,0.531,Other brand,Mainstream
CON00272,0-12 months,South,T1,4,3.0,3,0.553,Not currently buying,Convenience-driven
CON00273,0-12 months,West,T1,5,2.0,5,0.97,DePURA Kids,Health-conscious
CON00274,1-5 years,North,T2,4,4.0,4,0.316,Other brand,Price-sensitive
CON00275,0-12 months,North,T2,4,4.0,2,0.66,Other brand,Price-sensitive
CON00276,0-12 months,West,T2,4,3.0,5,0.706,DePURA Kids,Health-conscious
CON00277,0-12 months,North,T2,3,3.0,4,0.833,Other brand,Health-conscious
CON00278,6-12 years,North,T1,4,4.0,3,0.757,Other brand,Price-sensitive
CON00279,1-5 years,South,T2,3,3.0,3,0.422,Other brand,Convenience-driven
CON00280,0-12 months,North,T3,4,3.0,4,0.681,Other brand,Mainstream
CON00281,0-12 months,East,T1,5,3.0,3,0.636,DePURA Kids,Convenience-driven
CON00282,0-12 months,East,T3,3,5.0,4,0.672,Other brand,Price-sensitive
CON00283,0-12 months,West,T3,4,2.0,5,0.925,Not currently buying,Health-conscious
CON00284,6-12 years,North,T3,5,4.0,5,0.619,DePURA Kids,Price-sensitive
CON00285,0-12 months,South,T1,5,3.0,4,0.583,DePURA Kids,Mainstream
CON00286,13-18 years,East,T3,2,4.0,4,0.328,Other brand,Low-awareness
CON00287,0-12 months,South,T1,5,2.0,4,0.373,DePURA Kids,Convenience-driven
CON00288,6-12 years,North,T2,3,4.0,5,0.437,Other brand,Price-sensitive
CON00289,0-12 months,South,T2,4,3.0,3,0.608,Not currently buying,Convenience-driven
CON00290,1-5 years,Central,T3,3,3.0,4,0.786,Other brand,Health-conscious
CON00291,0-12 months,West,T2,5,3.0,3,0.55,Other brand,Mainstream
CON00292,1-5 years,North,T3,3,3.0,2,0.337,Not currently buying,Mainstream
CON00293,0-12 months,Central,T3,3,5.0,4,0.318,Other brand,Price-sensitive
CON00294,6-12 years,South,T2,4,4.0,5,0.788,Other brand,Price-sensitive
CON00295,6-12 years,West,T2,3,4.0,5,0.464,Other brand,Price-sensitive
CON00296,1-5 years,East,T3,4,5.0,4,0.669,Other brand,Price-sensitive
CON00297,1-5 years,North,T2,4,3.0,4,0.437,Other brand,Convenience-driven
CON00298,1-5 years,North,T1,4,1.0,4,0.385,Other brand,Convenience-driven
CON00299,0-12 months,Central,T2,4,2.0,3,0.719,Other brand,Mainstream
CON00300,1-5 years,North,T2,4,3.0,3,0.448,Other brand,Convenience-driven
CON00301,0-12 months,South,T1,5,3.0,3,0.694,Other brand,Convenience-driven
CON00302,0-12 months,West,T1,5,3.0,4,0.848,DePURA Kids,Convenience-driven
CON00303,1-5 years,West,T1,4,2.0,5,0.715,Other brand,Convenience-driven
CON00304,6-12 years,West,T2,5,3.0,5,0.533,DePURA Kids,Mainstream
CON00305,0-12 months,North,T2,5,5.0,1,0.487,Other brand,Price-sensitive
CON00306,0-12 months,West,T1,4,3.0,5,0.681,Other brand,Mainstream
CON00307,0-12 months,West,T1,4,5.0,4,0.361,Other brand,Price-sensitive
CON00308,0-12 months,South,T1,3,3.0,5,0.82,Not currently buying,Health-conscious
CON00309,0-12 months,East,T1,4,3.0,3,0.305,Other brand,Mainstream
CON00310,1-5 years,West,T1,4,3.0,4,0.75,Other brand,Health-conscious
CON00311,0-12 months,North,T2,4,3.0,3,0.578,Other brand,Mainstream
CON00312,0-12 months,West,T1,3,4.0,4,0.647,Not currently buying,Price-sensitive
CON00313,6-12 years,West,T1,3,2.0,4,0.73,DePURA Kids,Health-conscious
CON00314,1-5 years,West,T2,4,3.0,4,0.539,DePURA Kids,Mainstream
CON00315,0-12 months,South,T1,5,2.0,2,0.601,Other brand,Mainstream
CON00316,0-12 months,West,T1,3,3.0,3,0.842,Other brand,Convenience-driven
CON00317,6-12 years,North,T3,5,4.0,4,0.858,Not currently buying,Price-sensitive
CON00318,0-12 months,North,T1,4,3.0,3,0.649,Other brand,Mainstream
CON00319,6-12 years,South,T2,2,2.0,4,0.815,Other brand,Low-awareness
CON00320,6-12 years,South,T2,3,4.0,3,1.0,Other brand,Price-sensitive
CON00321,0-12 months,East,T1,4,3.0,4,0.66,DePURA Kids,Convenience-driven
CON00322,6-12 years,North,T2,3,3.0,4,0.405,Not currently buying,Mainstream
CON00323,6-12 years,East,T1,4,4.0,4,0.486,Other brand,Price-sensitive
CON00324,1-5 years,East,T3,2,3.0,4,0.625,Other brand,Low-awareness
CON00325,6-12 years,East,T1,3,2.0,3,0.812,Other brand,Convenience-driven
CON00326,1-5 years,North,T1,4,2.0,5,0.564,DePURA Kids,Mainstream
CON00327,0-12 months,West,T1,3,3.0,4,0.593,DePURA Kids,Convenience-driven
CON00328,1-5 years,East,T2,4,5.0,4,0.798,Not currently buying,Price-sensitive
CON00329,6-12 years,Central,T3,3,4.0,3,0.449,Not currently buying,Price-sensitive
CON00330,0-12 months,South,T1,5,2.0,4,0.65,DePURA Kids,Convenience-driven
CON00331,0-12 months,West,T1,4,4.0,3,0.612,DePURA Kids,Price-sensitive
CON00332,6-12 years,West,T1,4,1.0,3,0.738,Other brand,Convenience-driven
CON00333,6-12 years,West,T2,3,4.0,4,0.412,Other brand,Price-sensitive
CON00334,13-18 years,South,T2,3,3.0,4,0.565,Other brand,Convenience-driven
CON00335,6-12 years,North,T2,5,4.0,5,0.327,DePURA Kids,Price-sensitive
