hcp_id,specialty,territory_id,region,city_tier,monthly_patient_volume,recommendation_rate,digital_engagement,pre_recall_prescriber,hcp_segment
HCP00033,Pediatrician,TR36,East,T2,221.0,0.427,0.752,False,Low-opportunity
HCP00034,Pediatrician,TR29,South,T2,178.0,0.153,0.618,True,Low-opportunity
HCP00035,Pediatrician,TR04,North,T2,129.0,0.221,0.38,True,Low-opportunity
HCP00036,Pediatrician,TR03,North,T2,622.0,0.607,0.375,True,High-volume advocate
HCP00037,General Practitioner,TR35,East,T2,117.0,0.031,0.289,False,Low-opportunity
HCP00038,General Practitioner,TR11,North,T3,235.0,0.022,0.512,False,High-volume non/under-user
HCP00039,General Practitioner,TR20,Central,T2,158.0,0.21,0.556,False,Low-opportunity
HCP00040,General Practitioner,TR10,North,T2,76.0,0.149,0.378,False,Low-opportunity
HCP00041,Pediatrician,TR23,South,T1,473.0,0.491,0.463,True,High-volume advocate
HCP00042,Neonatologist,TR30,South,T2,211.0,0.369,0.722,True,Emerging
HCP00043,Obstetrician-Gynecologist,TR24,South,T1,73.0,0.053,0.737,False,Low-opportunity
HCP00044,Pediatrician,TR01,North,T1,118.0,0.082,0.697,True,Low-opportunity
HCP00045,General Practitioner,TR23,South,T1,126.0,0.074,0.409,False,Low-opportunity
HCP00046,Obstetrician-Gynecologist,TR24,South,T1,115.0,0.075,0.585,False,Low-opportunity
HCP00047,Pediatrician,TR08,North,T2,343.0,0.511,0.532,True,Low-opportunity
HCP00048,Pediatrician,TR27,South,T2,429.0,0.233,0.204,False,High-volume non/under-user
HCP00049,Pediatrician,TR24,South,T1,820.0,0.393,0.46,True,High-volume non/under-user
HCP00050,Neonatologist,TR01,North,T1,96.0,0.457,0.478,True,Low-opportunity
HCP00051,General Practitioner,TR34,East,T3,199.0,0.07,0.58,False,High-volume non/under-user
HCP00052,General Practitioner,TR16,West,T1,260.0,0.294,0.073,True,High-volume non/under-user
HCP00053,Obstetrician-Gynecologist,TR10,North,T2,70.0,0.033,0.462,False,Low-opportunity
HCP00054,Pediatrician,TR02,North,T1,230.0,0.218,0.707,True,Low-opportunity
HCP00055,Neonatologist,TR14,West,T1,307.0,0.117,0.245,True,High-volume non/under-user
HCP00056,Pediatrician,TR13,West,T1,144.0,0.503,0.757,True,Low-opportunity
HCP00057,General Practitioner,TR12,West,T1,203.0,0.115,0.687,True,High-volume non/under-user
HCP00058,Pediatrician,TR28,South,T1,217.0,0.252,0.256,True,Low-opportunity
HCP00059,Pediatrician,TR24,South,T1,271.0,0.333,0.601,False,Low-opportunity
HCP00060,Pediatrician,TR04,North,T2,1045.0,0.108,0.468,False,High-volume non/under-user
HCP00061,Pediatrician,TR26,South,T1,465.0,0.123,0.53,False,High-volume non/under-user
HCP00062,Pediatrician,TR26,South,T1,346.0,0.063,0.735,False,Emerging
HCP00063,Pediatrician,TR19,Central,T2,190.0,0.447,0.571,True,Low-opportunity
HCP00064,General Practitioner,TR36,East,T2,121.0,0.081,0.536,False,Low-opportunity
HCP00065,Obstetrician-Gynecologist,TR12,West,T1,126.0,0.144,,True,Low-opportunity
HCP00066,Pediatrician,TR02,North,T1,110.0,0.307,0.664,False,Low-opportunity
HCP00067,Pediatrician,TR01,North,T1,556.0,0.169,0.673,False,High-volume non/under-user
HCP00068,General Practitioner,TR13,West,T1,323.0,0.086,0.441,False,High-volume non/under-user
HCP00069,General Practitioner,TR18,West,T3,76.0,0.217,0.585,False,Low-opportunity
HCP00070,General Practitioner,TR02,North,T1,136.0,0.128,0.704,False,Emerging
HCP00071,Neonatologist,TR22,Central,T3,459.0,0.167,0.275,True,High-volume non/under-user
HCP00072,Pediatrician,TR31,East,T1,539.0,0.138,0.534,True,High-volume non/under-user
HCP00073,Pediatrician,TR28,South,T1,356.0,0.286,0.474,False,Low-opportunity
HCP00074,Obstetrician-Gynecologist,TR24,South,T1,263.0,0.156,0.354,False,High-volume non/under-user
HCP00075,General Practitioner,TR24,South,T1,96.0,0.211,0.473,True,Low-opportunity
HCP00076,General Practitioner,TR26,South,T1,279.0,0.036,0.637,True,High-volume non/under-user
HCP00077,Neonatologist,TR18,West,T3,133.0,0.09,,False,Low-opportunity
HCP00078,Pediatrician,TR15,West,T2,157.0,0.337,0.702,False,Low-opportunity
HCP00079,Pediatrician,TR13,West,T1,280.0,0.519,0.531,True,Low-opportunity
HCP00080,Pediatrician,TR03,North,T2,117.0,0.619,0.47,True,Low-opportunity
HCP00081,Obstetrician-Gynecologist,TR21,Central,T3,161.0,0.073,0.527,False,High-volume non/under-user
HCP00082,Obstetrician-Gynecologist,TR16,West,T1,133.0,0.152,0.846,True,Emerging
HCP00083,Pediatrician,TR04,North,T2,242.0,0.395,0.5,False,Low-opportunity
HCP00084,Pediatrician,TR12,West,T1,936.0,0.275,0.423,False,High-volume non/under-user
HCP00085,General Practitioner,TR28,South,T1,119.0,0.102,0.726,False,Low-opportunity
HCP00086,Pediatrician,TR11,North,T3,273.0,0.194,0.816,False,Low-opportunity
HCP00087,Obstetrician-Gynecologist,TR16,West,T1,179.0,0.046,0.443,False,High-volume non/under-user
HCP00088,Pediatrician,TR05,North,T2,147.0,0.15,0.73,False,Low-opportunity
HCP00089,Obstetrician-Gynecologist,TR06,North,T2,61.0,0.309,,False,Low-opportunity
HCP00090,General Practitioner,TR27,South,T2,68.0,0.184,0.487,True,Low-opportunity
HCP00091,Pediatrician,TR02,North,T1,312.0,0.291,0.847,True,Emerging
HCP00092,General Practitioner,TR12,West,T1,135.0,0.068,0.83,False,Emerging
HCP00093,General Practitioner,TR36,East,T2,216.0,0.169,0.717,True,High-volume non/under-user
HCP00094,Pediatrician,TR16,West,T1,325.0,0.051,0.554,False,Low-opportunity
HCP00095,Pediatrician,TR23,South,T1,426.0,0.404,0.484,True,High-volume advocate
HCP00096,Obstetrician-Gynecologist,TR24,South,T1,88.0,0.185,0.205,False,Low-opportunity
HCP00097,General Practitioner,TR08,North,T2,181.0,0.093,0.633,False,Emerging
HCP00098,General Practitioner,TR14,West,T1,232.0,0.143,0.894,False,High-volume non/under-user
HCP00099,Pediatrician,TR15,West,T2,325.0,0.541,0.761,False,Emerging
HCP00100,General Practitioner,TR10,North,T2,100.0,0.044,,False,Low-opportunity
HCP00101,General Practitioner,TR10,North,T2,109.0,0.027,0.12,False,Low-opportunity
HCP00102,Pediatrician,TR23,South,T1,344.0,0.277,0.798,True,Emerging
HCP00103,Pediatrician,TR03,North,T2,358.0,0.428,0.646,True,Emerging
HCP00104,Pediatrician,TR04,North,T2,291.0,0.549,0.411,False,Low-opportunity
HCP00105,General Practitioner,TR22,Central,T3,86.0,0.022,0.389,False,Low-opportunity
HCP00106,Pediatrician,TR16,West,T1,101.0,0.383,0.513,False,Low-opportunity
HCP00107,Obstetrician-Gynecologist,TR23,South,T1,121.0,0.346,0.74,True,Emerging
HCP00108,Pediatrician,TR01,North,T1,227.0,0.24,0.209,True,Low-opportunity
HCP00109,Obstetrician-Gynecologist,TR26,South,T1,119.0,0.069,0.514,True,Low-opportunity
HCP00110,Pediatrician,TR30,South,T2,457.0,0.523,,True,High-volume advocate
HCP00111,General Practitioner,TR19,Central,T2,182.0,0.054,0.251,False,Low-opportunity
HCP00112,General Practitioner,TR30,South,T2,43.0,0.252,0.348,True,Low-opportunity
HCP00113,General Practitioner,TR15,West,T2,224.0,0.243,0.619,True,High-volume non/under-user
HCP00114,Neonatologist,TR02,North,T1,295.0,0.316,0.477,True,High-volume non/under-user
HCP00115,Pediatrician,TR14,West,T1,482.0,0.727,0.302,True,High-volume advocate
HCP00116,Pediatrician,TR16,West,T1,780.0,0.72,0.755,True,High-volume advocate
HCP00117,Pediatrician,TR31,East,T1,808.0,0.366,0.492,False,High-volume non/under-user
HCP00118,Pediatrician,TR13,West,T1,222.0,0.189,0.326,True,Low-opportunity
HCP00119,Obstetrician-Gynecologist,TR13,West,T1,145.0,0.229,0.822,False,Emerging
HCP00120,Pediatrician,TR31,East,T1,491.0,0.748,0.611,True,High-volume advocate
HCP00121,General Practitioner,TR11,North,T3,105.0,0.269,0.539,True,Low-opportunity
HCP00122,Pediatrician,TR24,South,T1,571.0,0.644,0.325,True,High-volume advocate
HCP00123,Neonatologist,TR13,West,T1,411.0,0.265,0.649,True,High-volume non/under-user
HCP00124,Pediatrician,TR34,East,T3,341.0,0.064,0.624,False,Emerging
HCP00125,Neonatologist,TR08,North,T2,113.0,0.102,0.32,False,Low-opportunity
HCP00126,General Practitioner,TR26,South,T1,155.0,0.021,0.615,False,Emerging
HCP00127,Neonatologist,TR20,Central,T2,154.0,0.13,0.263,True,Low-opportunity
HCP00128,General Practitioner,TR36,East,T2,84.0,0.07,0.491,False,Low-opportunity
HCP00129,Pediatrician,TR36,East,T2,599.0,0.358,0.565,False,High-volume non/under-user
HCP00130,Obstetrician-Gynecologist,TR28,South,T1,70.0,0.668,0.327,True,Low-opportunity
HCP00131,Pediatrician,TR03,North,T2,142.0,0.191,,True,Low-opportunity
HCP00132,Pediatrician,TR16,West,T1,347.0,0.281,0.618,True,Emerging
HCP00133,Pediatrician,TR30,South,T2,172.0,0.216,0.463,False,Low-opportunity
HCP00134,Obstetrician-Gynecologist,TR24,South,T1,210.0,0.33,0.433,False,High-volume non/under-user
HCP00135,General Practitioner,TR31,East,T1,255.0,0.238,0.543,True,High-volume non/under-user
HCP00136,Pediatrician,TR28,South,T1,505.0,0.381,0.854,True,High-volume non/under-user
HCP00137,Obstetrician-Gynecologist,TR13,West,T1,95.0,0.27,0.585,False,Low-opportunity
HCP00138,Pediatrician,TR08,North,T2,304.0,0.471,0.484,True,Low-opportunity
HCP00139,Pediatrician,TR13,West,T1,197.0,0.471,0.545,True,Low-opportunity
HCP00140,Pediatrician,TR26,South,T1,279.0,0.075,0.521,False,Low-opportunity
HCP00141,Pediatrician,TR16,West,T1,627.0,0.361,0.621,True,High-volume non/under-user
HCP00142,General Practitioner,TR01,North,T1,202.0,0.181,0.767,False,High-volume non/under-user
HCP00143,Pediatrician,TR27,South,T2,580.0,0.095,0.578,False,High-volume non/under-user
HCP00144,Pediatrician,TR01,North,T1,385.0,0.342,0.402,True,Low-opportunity
HCP00145,Pediatrician,TR15,West,T2,272.0,0.152,0.176,False,Low-opportunity
HCP00146,Obstetrician-Gynecologist,TR16,West,T1,136.0,0.1,0.727,False,Emerging
HCP00147,General Practitioner,TR18,West,T3,173.0,0.036,0.456,False,Low-opportunity
HCP00148,Pediatrician,TR04,North,T2,317.0,0.268,0.596,True,Low-opportunity
HCP00149,General Practitioner,TR27,South,T2,103.0,0.277,0.184,True,Low-opportunity
HCP00150,Pediatrician,TR30,South,T2,208.0,0.153,0.342,False,Low-opportunity
HCP00151,Obstetrician-Gynecologist,TR26,South,T1,191.0,0.025,0.507,False,High-volume non/under-user
HCP00152,Pediatrician,TR34,East,T3,693.0,0.051,0.532,False,High-volume non/under-user
HCP00153,Pediatrician,TR11,North,T3,531.0,0.403,0.895,True,High-volume advocate
HCP00154,Pediatrician,TR05,North,T2,204.0,0.575,0.547,True,Low-opportunity
HCP00155,Pediatrician,TR02,North,T1,470.0,0.11,0.456,False,High-volume non/under-user
HCP00156,Pediatrician,TR26,South,T1,190.0,0.185,0.685,True,Low-opportunity
HCP00157,General Practitioner,TR05,North,T2,206.0,0.052,0.165,False,High-volume non/under-user
HCP00158,Pediatrician,TR33,East,T2,380.0,0.654,0.712,True,Emerging
HCP00159,Pediatrician,TR23,South,T1,313.0,0.349,0.651,True,Emerging
HCP00160,General Practitioner,TR28,South,T1,105.0,0.194,0.219,False,Low-opportunity
HCP00161,General Practitioner,TR16,West,T1,121.0,0.054,0.575,False,Low-opportunity
HCP00162,Obstetrician-Gynecologist,TR26,South,T1,163.0,0.099,0.578,True,High-volume non/under-user
HCP00163,Pediatrician,TR16,West,T1,600.0,0.147,0.45,False,High-volume non/under-user
HCP00164,Obstetrician-Gynecologist,TR20,Central,T2,81.0,0.046,0.347,False,Low-opportunity
HCP00165,General Practitioner,TR28,South,T1,133.0,0.055,0.853,True,Low-opportunity
HCP00166,General Practitioner,TR10,North,T2,78.0,0.12,0.749,True,Low-opportunity
HCP00167,Pediatrician,TR31,East,T1,302.0,0.442,0.443,True,Low-opportunity
HCP00168,Pediatrician,TR26,South,T1,300.0,0.107,0.52,False,Low-opportunity
HCP00169,Pediatrician,TR27,South,T2,547.0,0.243,0.58,False,High-volume non/under-user
HCP00170,General Practitioner,TR10,North,T2,247.0,0.213,0.492,True,High-volume non/under-user
HCP00171,General Practitioner,TR02,North,T1,239.0,0.055,0.318,False,High-volume non/under-user
HCP00172,Pediatrician,TR02,North,T1,452.0,0.098,0.575,False,High-volume non/under-user
HCP00173,Pediatrician,TR24,South,T1,579.0,0.247,0.479,False,High-volume non/under-user
HCP00174,Obstetrician-Gynecologist,TR05,North,T2,97.0,0.116,0.546,True,Low-opportunity
HCP00175,Pediatrician,TR36,East,T2,271.0,0.732,0.537,True,Low-opportunity
HCP00176,General Practitioner,TR34,East,T3,108.0,0.134,0.638,True,Low-opportunity
HCP00177,Neonatologist,TR01,North,T1,106.0,0.053,0.591,False,Low-opportunity
HCP00178,Pediatrician,TR26,South,T1,330.0,0.162,0.236,False,Low-opportunity
HCP00179,General Practitioner,TR11,North,T3,81.0,0.089,0.477,False,Low-opportunity
HCP00180,General Practitioner,TR13,West,T1,202.0,0.177,0.054,True,High-volume non/under-user
HCP00181,Pediatrician,TR10,North,T2,209.0,0.082,0.482,True,Low-opportunity
HCP00182,Pediatrician,TR29,South,T2,702.0,0.343,0.617,False,High-volume non/under-user
HCP00183,Obstetrician-Gynecologist,TR31,East,T1,74.0,0.128,0.538,True,Low-opportunity
HCP00184,Pediatrician,TR01,North,T1,319.0,0.305,0.639,True,Emerging
HCP00185,Pediatrician,TR12,West,T1,528.0,0.52,0.428,True,High-volume advocate
HCP00186,Pediatrician,TR16,West,T1,808.0,0.034,0.612,False,High-volume non/under-user
HCP00187,General Practitioner,TR19,Central,T2,128.0,0.331,0.593,True,Low-opportunity
HCP00188,Pediatrician,TR02,North,T1,224.0,0.313,0.953,False,Low-opportunity
HCP00189,Pediatrician,TR29,South,T2,404.0,0.306,0.674,True,Emerging
HCP00190,Pediatrician,TR33,East,T2,175.0,0.147,0.661,False,Low-opportunity
HCP00191,Pediatrician,TR15,West,T2,549.0,0.084,0.334,False,High-volume non/under-user
HCP00192,General Practitioner,TR30,South,T2,135.0,0.104,0.432,False,Low-opportunity
HCP00193,Obstetrician-Gynecologist,TR25,South,T3,172.0,0.103,0.172,False,High-volume non/under-user
HCP00194,Pediatrician,TR23,South,T1,148.0,0.369,0.283,True,Low-opportunity
HCP00195,General Practitioner,TR29,South,T2,140.0,0.098,,False,Low-opportunity
HCP00196,General Practitioner,TR16,West,T1,244.0,0.021,0.36,False,High-volume non/under-user
HCP00197,General Practitioner,TR20,Central,T2,249.0,0.141,0.488,False,High-volume non/under-user
HCP00198,General Practitioner,TR12,West,T1,258.0,0.047,0.313,False,High-volume non/under-user
HCP00199,Pediatrician,TR26,South,T1,144.0,0.21,0.489,False,Low-opportunity
HCP00200,General Practitioner,TR05,North,T2,113.0,0.117,0.507,False,Low-opportunity
HCP00201,General Practitioner,TR10,North,T2,217.0,0.104,0.465,False,High-volume non/under-user
HCP00202,General Practitioner,TR16,West,T1,120.0,0.23,0.402,False,Low-opportunity
HCP00203,Pediatrician,TR14,West,T1,720.0,0.191,0.746,False,High-volume non/under-user
HCP00204,Pediatrician,TR10,North,T2,280.0,0.568,0.437,True,Low-opportunity
HCP00205,Pediatrician,TR08,North,T2,190.0,0.405,0.423,True,Low-opportunity
HCP00206,Pediatrician,TR31,East,T1,854.0,0.199,0.526,True,High-volume non/under-user
HCP00207,Pediatrician,TR23,South,T1,407.0,0.266,0.638,False,Emerging
HCP00208,Pediatrician,TR14,West,T1,121.0,0.393,0.533,True,Low-opportunity
HCP00209,Pediatrician,TR30,South,T2,456.0,0.63,0.673,True,High-volume advocate
HCP00210,Pediatrician,TR29,South,T2,343.0,0.127,0.674,True,Emerging
HCP00211,Neonatologist,TR03,North,T2,270.0,0.313,0.649,False,High-volume non/under-user
HCP00212,Pediatrician,TR22,Central,T3,166.0,0.096,0.574,False,Low-opportunity
HCP00213,Pediatrician,TR12,West,T1,257.0,0.129,0.53,False,Low-opportunity
HCP00214,General Practitioner,TR20,Central,T2,112.0,0.138,0.623,True,Low-opportunity
HCP00215,Pediatrician,TR26,South,T1,340.0,0.444,0.423,True,Low-opportunity
HCP00216,Pediatrician,TR01,North,T1,400.0,0.258,0.34,False,Low-opportunity
HCP00217,Pediatrician,TR18,West,T3,344.0,0.367,0.772,True,Emerging
HCP00218,Pediatrician,TR12,West,T1,399.0,0.315,0.528,True,Low-opportunity
HCP00219,General Practitioner,TR19,Central,T2,74.0,0.061,0.587,False,Low-opportunity
HCP00220,Pediatrician,TR03,North,T2,283.0,0.272,0.867,True,Low-opportunity
HCP00221,Pediatrician,TR28,South,T1,393.0,0.612,0.544,False,Low-opportunity
HCP00222,Pediatrician,TR20,Central,T2,386.0,0.196,0.13,False,Low-opportunity
HCP00223,Pediatrician,TR09,North,T2,181.0,0.284,0.44,True,Low-opportunity
HCP00224,General Practitioner,TR28,South,T1,192.0,0.112,0.575,False,High-volume non/under-user
HCP00225,Pediatrician,TR01,North,T1,173.0,0.336,0.641,True,Low-opportunity
HCP00226,Pediatrician,TR23,South,T1,307.0,0.101,0.73,False,Emerging
HCP00227,Pediatrician,TR18,West,T3,334.0,0.512,0.374,True,Low-opportunity
HCP00228,General Practitioner,TR01,North,T1,229.0,0.147,0.844,False,High-volume non/under-user
HCP00229,Pediatrician,TR10,North,T2,349.0,0.111,0.53,False,Low-opportunity
HCP00230,Obstetrician-Gynecologist,TR02,North,T1,130.0,0.186,0.593,True,Low-opportunity
HCP00231,Pediatrician,TR26,South,T1,206.0,0.053,0.67,False,Low-opportunity
HCP00232,Neonatologist,TR26,South,T1,415.0,0.232,0.511,True,High-volume non/under-user
HCP00233,Pediatrician,TR02,North,T1,288.0,0.109,0.492,False,Low-opportunity
HCP00234,General Practitioner,TR03,North,T2,175.0,0.097,0.755,False,Emerging
HCP00235,Pediatrician,TR31,East,T1,439.0,0.607,0.665,True,High-volume advocate
HCP00236,Pediatrician,TR08,North,T2,539.0,0.453,0.526,True,High-volume advocate
HCP00237,General Practitioner,TR12,West,T1,266.0,0.127,0.539,False,High-volume non/under-user
HCP00238,Neonatologist,TR25,South,T3,398.0,0.299,0.857,False,High-volume non/under-user
HCP00239,General Practitioner,TR02,North,T1,553.0,0.121,0.362,False,High-volume non/under-user
HCP00240,Pediatrician,TR34,East,T3,443.0,0.404,0.747,True,High-volume advocate
HCP00241,Pediatrician,TR01,North,T1,404.0,0.36,0.575,True,Low-opportunity
HCP00242,Pediatrician,TR30,South,T2,329.0,0.245,0.411,True,Low-opportunity
HCP00243,General Practitioner,TR14,West,T1,85.0,0.178,0.445,False,Low-opportunity
HCP00244,Pediatrician,TR05,North,T2,493.0,0.264,0.813,False,High-volume non/under-user
HCP00245,Pediatrician,TR14,West,T1,336.0,0.167,0.526,False,Low-opportunity
HCP00246,Pediatrician,TR35,East,T2,275.0,0.389,0.253,True,Low-opportunity
HCP00247,Neonatologist,TR19,Central,T2,278.0,0.282,0.372,False,High-volume non/under-user
HCP00248,Pediatrician,TR02,North,T1,520.0,0.089,0.444,False,High-volume non/under-user
HCP00249,Pediatrician,TR33,East,T2,234.0,0.131,0.323,False,Low-opportunity
HCP00250,Pediatrician,TR05,North,T2,284.0,0.492,0.407,True,Low-opportunity
HCP00251,Pediatrician,TR01,North,T1,543.0,0.396,0.368,True,High-volume non/under-user
HCP00252,Pediatrician,TR01,North,T1,191.0,0.224,0.544,False,Low-opportunity
HCP00253,General Practitioner,TR29,South,T2,109.0,0.342,0.298,True,Low-opportunity
HCP00254,Pediatrician,TR05,North,T2,508.0,0.385,0.487,True,High-volume non/under-user
HCP00255,Pediatrician,TR07,North,T3,175.0,0.077,0.511,False,Low-opportunity
HCP00256,Pediatrician,TR34,East,T3,445.0,0.417,0.353,True,High-volume advocate
HCP00257,Pediatrician,TR23,South,T1,426.0,0.434,0.557,True,High-volume advocate
HCP00258,General Practitioner,TR12,West,T1,151.0,0.511,0.681,True,Emerging
HCP00259,Pediatrician,TR23,South,T1,186.0,0.495,0.685,True,Low-opportunity
HCP00260,General Practitioner,TR10,North,T2,79.0,0.162,0.339,True,Low-opportunity
HCP00261,Pediatrician,TR18,West,T3,664.0,0.226,0.785,True,High-volume non/under-user
HCP00262,Pediatrician,TR13,West,T1,276.0,0.354,0.464,True,Low-opportunity
HCP00263,Pediatrician,TR23,South,T1,623.0,0.134,0.548,False,High-volume non/under-user
HCP00264,Pediatrician,TR27,South,T2,277.0,0.698,0.462,True,Low-opportunity
HCP00265,Pediatrician,TR14,West,T1,412.0,0.683,0.716,True,Emerging
HCP00266,Pediatrician,TR05,North,T2,574.0,0.706,0.592,True,High-volume advocate
HCP00267,Obstetrician-Gynecologist,TR14,West,T1,59.0,0.109,0.522,True,Low-opportunity
HCP00268,Pediatrician,TR27,South,T2,154.0,0.481,0.502,True,Low-opportunity
HCP00269,Pediatrician,TR28,South,T1,288.0,0.213,0.569,False,Low-opportunity
HCP00270,Pediatrician,TR28,South,T1,215.0,0.699,0.564,True,Low-opportunity
HCP00271,Pediatrician,TR35,East,T2,355.0,0.121,0.644,False,Emerging
HCP00272,Pediatrician,TR29,South,T2,393.0,0.32,0.332,True,Low-opportunity
HCP00273,General Practitioner,TR35,East,T2,122.0,0.135,0.389,False,Low-opportunity
HCP00274,General Practitioner,TR24,South,T1,150.0,0.037,0.77,False,Emerging
HCP00275,General Practitioner,TR09,North,T2,148.0,0.012,0.221,False,Low-opportunity
HCP00276,Pediatrician,TR23,South,T1,235.0,0.125,0.282,True,Low-opportunity
HCP00277,Pediatrician,TR08,North,T2,393.0,0.559,0.321,True,Low-opportunity
HCP00278,General Practitioner,TR02,North,T1,72.0,0.287,0.444,False,Low-opportunity
HCP00279,Pediatrician,TR12,West,T1,465.0,0.545,0.592,True,High-volume advocate
HCP00280,General Practitioner,TR14,West,T1,219.0,0.202,0.714,False,High-volume non/under-user
HCP00281,General Practitioner,TR26,South,T1,86.0,0.099,0.74,True,Low-opportunity
HCP00282,Pediatrician,TR14,West,T1,405.0,0.264,0.518,True,Low-opportunity
HCP00283,Pediatrician,TR01,North,T1,466.0,0.12,0.601,False,High-volume non/under-user
HCP00284,General Practitioner,TR32,East,T3,364.0,0.076,0.341,False,High-volume non/under-user
HCP00285,Pediatrician,TR23,South,T1,699.0,0.081,0.288,False,High-volume non/under-user
HCP00286,Pediatrician,TR09,North,T2,408.0,0.251,0.567,False,Low-opportunity
HCP00287,Pediatrician,TR11,North,T3,220.0,0.224,0.516,False,Low-opportunity
HCP00288,Pediatrician,TR04,North,T2,559.0,0.579,0.538,True,High-volume advocate
HCP00289,General Practitioner,TR32,East,T3,90.0,0.285,0.568,True,Low-opportunity
HCP00290,Pediatrician,TR09,North,T2,185.0,0.501,0.618,True,Low-opportunity
HCP00291,Obstetrician-Gynecologist,TR33,East,T2,189.0,0.095,0.731,False,High-volume non/under-user
HCP00292,Neonatologist,TR11,North,T3,486.0,0.233,0.44,True,High-volume non/under-user
HCP00293,Neonatologist,TR28,South,T1,165.0,0.811,0.563,True,Low-opportunity
HCP00294,Pediatrician,TR01,North,T1,591.0,0.498,0.509,True,High-volume advocate
HCP00295,Pediatrician,TR17,West,T2,178.0,0.351,0.5,True,Low-opportunity
HCP00296,Obstetrician-Gynecologist,TR14,West,T1,112.0,0.041,0.64,False,Emerging
HCP00297,General Practitioner,TR13,West,T1,114.0,0.026,0.578,False,Low-opportunity
HCP00298,Pediatrician,TR36,East,T2,391.0,0.155,0.413,False,Low-opportunity
HCP00299,Obstetrician-Gynecologist,TR26,South,T1,50.0,0.045,0.481,True,Low-opportunity
HCP00300,General Practitioner,TR11,North,T3,174.0,0.227,0.707,False,Emerging
HCP00301,General Practitioner,TR27,South,T2,109.0,0.317,0.485,False,Low-opportunity
HCP00302,Neonatologist,TR04,North,T2,156.0,0.176,1.0,False,Low-opportunity
HCP00303,Neonatologist,TR33,East,T2,292.0,0.192,0.47,True,High-volume non/under-user
HCP00304,Pediatrician,TR16,West,T1,220.0,0.385,0.711,True,Low-opportunity
HCP00305,Pediatrician,TR08,North,T2,208.0,0.179,0.544,False,Low-opportunity
HCP00306,General Practitioner,TR12,West,T1,204.0,0.136,0.265,False,High-volume non/under-user
HCP00307,General Practitioner,TR05,North,T2,157.0,0.162,0.558,False,Low-opportunity
HCP00308,General Practitioner,TR33,East,T2,146.0,0.033,0.894,False,Emerging
