consumer_id,child_age_group,region,city_tier,parent_age_group,income_band,awareness,purchase_channel,purchase_frequency,price_sensitivity,brand_trust,recommendation_source,adherence_score,aware_of_recall,current_brand
CON00055,0-12 months,West,T2,40+,25k-50k,4,E-Pharmacy,Monthly,4,3,Gynecologist,0.758,False,Other brand
CON00056,0-12 months,North,T1,25-29,>1L,4,Hospital Pharmacy,Monthly,2,3,Pediatrician,0.861,False,DePURA Kids
CON00057,6-12 years,South,T1,40+,50k-1L,5,Quick Commerce,Every 2-3 months,3,2,Online/Social media,0.556,True,DePURA Kids
CON00058,0-12 months,North,T3,35-39,25k-50k,4,Pharmacy Chain,Monthly,4,4,Pediatrician,0.723,False,Other brand
CON00059,13-18 years,South,T2,30-34,50k-1L,4,Hospital Pharmacy,Monthly,3,2,Pharmacist,0.86,False,Other brand
CON00060,6-12 years,East,T3,30-34,25k-50k,4,Retail Chemist,Monthly,3,4,Pediatrician,0.854,False,Other brand
CON00061,13-18 years,South,T1,35-39,25k-50k,5,Retail Chemist,Occasionally,5,3,Pediatrician,0.473,True,DePURA Kids
CON00062,1-5 years,South,T3,25-29,<25k,3,Quick Commerce,Occasionally,4,3,Family/Friends,0.437,True,Other brand
CON00063,0-12 months,West,T1,30-34,>1L,2,Pharmacy Chain,Every 2-3 months,,4,Pediatrician,0.579,True,Other brand
CON00064,0-12 months,North,T1,30-34,50k-1L,4,E-Pharmacy,Every 2-3 months,3,3,Gynecologist,0.586,True,Other brand
CON00065,1-5 years,West,T1,30-34,50k-1L,4,Pharmacy Chain,Monthly,5,3,Pediatrician,0.792,True,Other brand
CON00066,1-5 years,West,T1,30-34,50k-1L,3,Retail Chemist,Occasionally,3,5,Pediatrician,0.423,False,Not currently buying
CON00067,0-12 months,West,T2,25-29,25k-50k,3,Retail Chemist,Monthly,2,3,Gynecologist,0.71,False,Other brand
CON00068,0-12 months,South,T1,40+,25k-50k,3,Retail Chemist,Every 2-3 months,4,3,Online/Social media,0.524,False,Other brand
CON00069,1-5 years,Central,T2,30-34,50k-1L,2,Retail Chemist,Every 2-3 months,3,3,Family/Friends,0.623,False,Not currently buying
CON00070,0-12 months,East,T3,25-29,<25k,4,Hospital Pharmacy,Every 2-3 months,5,5,Pediatrician,0.505,False,DePURA Kids
CON00071,1-5 years,South,T1,30-34,50k-1L,3,Retail Chemist,Every 2-3 months,5,2,Pediatrician,0.671,True,Other brand
CON00072,0-12 months,South,T1,30-34,25k-50k,4,E-Pharmacy,Monthly,3,4,Pediatrician,0.861,False,DePURA Kids
CON00073,1-5 years,East,T3,25-29,<25k,5,Retail Chemist,Occasionally,5,4,Pediatrician,0.45,False,DePURA Kids
CON00074,0-12 months,West,T3,35-39,<25k,3,Retail Chemist,Monthly,5,4,Family/Friends,0.777,True,Other brand
CON00075,0-12 months,East,T2,30-34,50k-1L,2,Pharmacy Chain,Monthly,4,4,Pediatrician,0.875,False,Not currently buying
CON00076,0-12 months,West,T1,25-29,<25k,4,Retail Chemist,Occasionally,5,3,Pediatrician,0.441,False,Not currently buying
CON00077,0-12 months,West,T1,18-24,<25k,5,Quick Commerce,Monthly,4,3,Pediatrician,0.973,True,Other brand
CON00078,6-12 years,South,T1,40+,25k-50k,3,Pharmacy Chain,Occasionally,3,2,Pharmacist,0.489,True,Other brand
CON00079,0-12 months,South,T2,30-34,<25k,3,Quick Commerce,Every 2-3 months,4,5,Pediatrician,0.548,False,Other brand
CON00080,0-12 months,West,T1,25-29,50k-1L,4,E-Pharmacy,Monthly,3,3,Pediatrician,0.813,False,Other brand
CON00081,0-12 months,South,T1,18-24,>1L,4,Quick Commerce,Monthly,2,5,Pediatrician,0.732,False,Other brand
CON00082,1-5 years,East,T1,35-39,25k-50k,3,Retail Chemist,Occasionally,4,4,Pediatrician,0.319,False,Other brand
CON00083,6-12 years,North,T1,25-29,50k-1L,4,Quick Commerce,Every 2-3 months,3,2,Pharmacist,0.608,False,Other brand
CON00084,6-12 years,South,T1,40+,>1L,4,Quick Commerce,Monthly,2,2,Online/Social media,0.749,True,DePURA Kids
CON00085,6-12 years,West,T1,35-39,>1L,3,E-Pharmacy,Monthly,2,3,Pediatrician,0.742,False,Other brand
CON00086,0-12 months,East,T3,35-39,25k-50k,3,Retail Chemist,Monthly,4,4,Pediatrician,1.0,False,Other brand
CON00087,0-12 months,North,T2,40+,>1L,5,Quick Commerce,Monthly,2,4,Pediatrician,0.959,False,Other brand
CON00088,1-5 years,South,T1,30-34,25k-50k,5,Hospital Pharmacy,Every 2-3 months,4,5,Pediatrician,0.589,False,Other brand
CON00089,6-12 years,South,T1,35-39,50k-1L,4,Quick Commerce,Every 2-3 months,3,4,Pharmacist,0.642,False,Other brand
CON00090,0-12 months,North,T2,30-34,25k-50k,3,Pharmacy Chain,Monthly,4,4,Pediatrician,0.908,False,Other brand
CON00091,13-18 years,East,T1,30-34,<25k,3,Hospital Pharmacy,Occasionally,4,3,Online/Social media,0.352,True,Other brand
CON00092,0-12 months,West,T1,35-39,>1L,5,Retail Chemist,Monthly,1,4,Pediatrician,0.886,True,DePURA Kids
CON00093,0-12 months,North,T1,25-29,<25k,3,Pharmacy Chain,Monthly,5,3,Pediatrician,0.76,True,Other brand
CON00094,13-18 years,South,T1,30-34,<25k,3,Hospital Pharmacy,Occasionally,4,4,Family/Friends,0.396,False,Other brand
CON00095,1-5 years,North,T1,35-39,25k-50k,5,Retail Chemist,Every 2-3 months,4,5,Gynecologist,0.623,False,Other brand
CON00096,6-12 years,East,T3,30-34,25k-50k,4,Hospital Pharmacy,Every 2-3 months,4,5,Gynecologist,0.546,False,DePURA Kids
CON00097,6-12 years,Central,T2,30-34,<25k,4,Quick Commerce,Occasionally,4,4,Pediatrician,0.46,False,Other brand
CON00098,6-12 years,East,T1,25-29,50k-1L,3,Quick Commerce,Every 2-3 months,3,5,Pediatrician,0.54,True,DePURA Kids
CON00099,0-12 months,South,T3,25-29,25k-50k,4,Pharmacy Chain,Every 2-3 months,4,5,Pediatrician,0.597,False,Other brand
CON00100,0-12 months,East,T3,30-34,>1L,4,Retail Chemist,Every 2-3 months,2,4,Pediatrician,0.647,False,DePURA Kids
CON00101,6-12 years,Central,T3,25-29,50k-1L,4,Retail Chemist,Every 2-3 months,3,1,Online/Social media,0.699,True,Other brand
CON00102,0-12 months,West,T1,30-34,25k-50k,4,E-Pharmacy,Monthly,4,3,Family/Friends,0.79,False,Other brand
CON00103,0-12 months,North,T1,35-39,25k-50k,4,Pharmacy Chain,Monthly,3,5,Pediatrician,0.796,False,Other brand
CON00104,0-12 months,North,T3,25-29,25k-50k,2,Retail Chemist,Monthly,5,5,Pediatrician,0.76,False,DePURA Kids
CON00105,1-5 years,East,T3,35-39,25k-50k,5,Retail Chemist,Monthly,3,3,Pediatrician,0.855,False,Not currently buying
CON00106,6-12 years,East,T2,30-34,50k-1L,5,Pharmacy Chain,Every 2-3 months,3,3,Pediatrician,0.563,False,Not currently buying
CON00107,0-12 months,North,T1,35-39,50k-1L,3,Pharmacy Chain,Every 2-3 months,3,4,Family/Friends,0.65,False,Other brand
CON00108,0-12 months,North,T3,35-39,<25k,3,Retail Chemist,Monthly,5,4,Pediatrician,0.727,False,Not currently buying
CON00109,6-12 years,North,T2,25-29,>1L,4,Retail Chemist,Every 2-3 months,2,4,Pediatrician,0.646,False,Not currently buying
CON00110,0-12 months,Central,T2,35-39,<25k,4,Retail Chemist,Every 2-3 months,5,4,Pediatrician,0.661,False,Other brand
CON00111,6-12 years,West,T2,35-39,25k-50k,3,Hospital Pharmacy,Every 2-3 months,4,4,Pediatrician,0.533,False,DePURA Kids
CON00112,1-5 years,East,T2,25-29,50k-1L,3,Retail Chemist,Monthly,3,4,Pediatrician,0.749,True,DePURA Kids
CON00113,1-5 years,West,T1,30-34,25k-50k,4,Quick Commerce,Occasionally,4,5,Pediatrician,0.429,False,DePURA Kids
CON00114,6-12 years,South,T1,30-34,50k-1L,4,E-Pharmacy,Occasionally,3,4,Pediatrician,0.49,False,Other brand
CON00115,0-12 months,South,T2,35-39,25k-50k,2,Hospital Pharmacy,Occasionally,4,3,Pharmacist,0.418,False,Other brand
CON00116,6-12 years,North,T1,25-29,>1L,3,Retail Chemist,Every 2-3 months,3,4,Pediatrician,0.681,False,DePURA Kids
CON00117,1-5 years,South,T1,30-34,50k-1L,5,Pharmacy Chain,Monthly,3,3,Pediatrician,0.786,False,DePURA Kids
CON00118,1-5 years,South,T1,35-39,50k-1L,5,Pharmacy Chain,Occasionally,,3,Gynecologist,0.457,False,DePURA Kids
CON00119,0-12 months,East,T3,30-34,50k-1L,5,Retail Chemist,Monthly,3,4,Pediatrician,0.797,False,DePURA Kids
CON00120,6-12 years,East,T2,25-29,50k-1L,4,Retail Chemist,Monthly,3,5,Pediatrician,0.867,False,Not currently buying
CON00121,0-12 months,Central,T3,40+,25k-50k,3,Pharmacy Chain,Every 2-3 months,5,4,Family/Friends,0.53,False,Other brand
CON00122,0-12 months,South,T2,25-29,<25k,4,E-Pharmacy,Monthly,4,4,Family/Friends,0.762,False,DePURA Kids
CON00123,0-12 months,East,T2,30-34,25k-50k,4,Pharmacy Chain,Occasionally,2,4,Pediatrician,0.484,False,Other brand
CON00124,0-12 months,East,T1,30-34,50k-1L,5,Retail Chemist,Monthly,4,4,Pediatrician,0.782,True,Not currently buying
CON00125,13-18 years,South,T1,30-34,>1L,5,Retail Chemist,Every 2-3 months,3,3,Family/Friends,0.585,True,Other brand
CON00126,1-5 years,North,T2,25-29,<25k,4,Retail Chemist,Occasionally,5,5,Pediatrician,0.483,False,Not currently buying
CON00127,1-5 years,West,T1,30-34,<25k,3,Pharmacy Chain,Every 2-3 months,5,4,Family/Friends,0.512,True,Other brand
CON00128,1-5 years,East,T1,25-29,<25k,4,Hospital Pharmacy,Every 2-3 months,5,5,Pediatrician,0.596,False,Other brand
CON00129,1-5 years,North,T1,18-24,<25k,5,Pharmacy Chain,Occasionally,4,4,Gynecologist,0.468,False,Other brand
CON00130,6-12 years,East,T1,25-29,25k-50k,4,E-Pharmacy,Every 2-3 months,3,3,Pharmacist,0.612,False,Other brand
CON00131,0-12 months,South,T1,25-29,>1L,3,E-Pharmacy,Monthly,2,4,Pharmacist,0.703,False,DePURA Kids
CON00132,6-12 years,South,T2,40+,25k-50k,4,Retail Chemist,Monthly,3,3,Pediatrician,0.768,False,Other brand
CON00133,0-12 months,West,T2,30-34,>1L,3,Retail Chemist,Occasionally,3,5,Pharmacist,0.449,False,Not currently buying
CON00134,6-12 years,West,T1,40+,50k-1L,5,Quick Commerce,Every 2-3 months,4,4,Pediatrician,0.583,True,DePURA Kids
CON00135,13-18 years,East,T2,30-34,25k-50k,3,Retail Chemist,Monthly,3,4,Pediatrician,0.858,False,Other brand
CON00136,0-12 months,South,T1,25-29,25k-50k,4,Retail Chemist,One-time,4,3,Family/Friends,0.289,False,Other brand
CON00137,0-12 months,South,T1,35-39,50k-1L,3,Retail Chemist,Every 2-3 months,3,5,Pediatrician,0.557,False,Not currently buying
CON00138,0-12 months,East,T2,30-34,25k-50k,3,Retail Chemist,Monthly,3,4,Pediatrician,0.854,True,Other brand
CON00139,0-12 months,West,T3,18-24,25k-50k,4,Retail Chemist,Every 2-3 months,5,4,Pediatrician,0.647,False,Other brand
CON00140,1-5 years,North,T1,35-39,50k-1L,3,Hospital Pharmacy,Every 2-3 months,4,4,Pharmacist,0.627,False,Not currently buying
CON00141,1-5 years,North,T3,18-24,25k-50k,3,E-Pharmacy,Occasionally,4,4,Gynecologist,0.376,False,Other brand
CON00142,1-5 years,South,T1,40+,25k-50k,5,Retail Chemist,Monthly,4,4,Pediatrician,0.755,False,Other brand
CON00143,1-5 years,South,T1,35-39,50k-1L,3,Pharmacy Chain,Occasionally,5,3,Family/Friends,0.457,True,Not currently buying
CON00144,1-5 years,Central,T2,30-34,50k-1L,5,Hospital Pharmacy,Every 2-3 months,4,3,Pharmacist,0.558,False,Not currently buying
CON00145,6-12 years,South,T1,25-29,50k-1L,5,E-Pharmacy,Occasionally,3,4,Pediatrician,0.407,False,Other brand
CON00146,0-12 months,South,T1,30-34,>1L,3,E-Pharmacy,Monthly,2,3,Pediatrician,0.846,False,Not currently buying
CON00147,0-12 months,North,T1,30-34,>1L,1,E-Pharmacy,Every 2-3 months,2,4,Online/Social media,0.66,False,DePURA Kids
CON00148,1-5 years,West,T3,25-29,25k-50k,3,Quick Commerce,Monthly,4,3,Pediatrician,0.711,False,Other brand
CON00149,6-12 years,East,T1,30-34,25k-50k,4,E-Pharmacy,Occasionally,2,3,Online/Social media,0.499,False,Not currently buying
CON00150,13-18 years,North,T1,18-24,>1L,2,Retail Chemist,Occasionally,2,4,Online/Social media,0.471,False,Other brand
CON00151,1-5 years,South,T3,30-34,25k-50k,3,Retail Chemist,Occasionally,3,4,Pediatrician,0.472,False,Other brand
CON00152,0-12 months,Central,T3,35-39,<25k,4,Retail Chemist,Monthly,3,4,Pediatrician,0.893,False,Other brand
CON00153,1-5 years,South,T1,30-34,25k-50k,3,Retail Chemist,Occasionally,4,3,Pediatrician,0.49,True,Other brand
CON00154,1-5 years,East,T3,40+,25k-50k,3,Retail Chemist,Every 2-3 months,3,2,Online/Social media,0.513,False,Other brand
CON00155,1-5 years,East,T1,30-34,25k-50k,4,E-Pharmacy,Occasionally,4,3,Pediatrician,0.316,False,Other brand
CON00156,0-12 months,South,T2,25-29,>1L,4,E-Pharmacy,Monthly,3,4,Pediatrician,0.978,False,DePURA Kids
CON00157,6-12 years,West,T1,30-34,25k-50k,3,Pharmacy Chain,Every 2-3 months,3,3,Online/Social media,0.519,True,Other brand
CON00158,1-5 years,North,T3,25-29,<25k,3,Retail Chemist,Occasionally,4,4,Gynecologist,0.387,False,Other brand
CON00159,1-5 years,South,T1,35-39,25k-50k,3,Retail Chemist,Every 2-3 months,3,3,Pharmacist,0.638,False,Other brand
CON00160,0-12 months,South,T1,35-39,>1L,5,Pharmacy Chain,Monthly,1,3,Pediatrician,0.829,False,Other brand
CON00161,0-12 months,North,T2,25-29,25k-50k,4,Retail Chemist,Every 2-3 months,5,3,Pediatrician,0.564,False,Other brand
CON00162,1-5 years,South,T2,25-29,<25k,4,Quick Commerce,Monthly,4,4,Pediatrician,0.763,True,Not currently buying
CON00163,13-18 years,South,T2,18-24,50k-1L,3,Retail Chemist,Occasionally,2,4,Family/Friends,0.397,False,Other brand
CON00164,0-12 months,Central,T3,40+,25k-50k,5,Quick Commerce,Occasionally,4,2,Family/Friends,0.445,False,Not currently buying
CON00165,13-18 years,East,T1,25-29,<25k,5,Hospital Pharmacy,Every 2-3 months,3,5,Pediatrician,0.677,False,Other brand
CON00166,6-12 years,East,T3,30-34,<25k,5,Quick Commerce,Every 2-3 months,,5,Pediatrician,0.661,False,Not currently buying
CON00167,1-5 years,North,T3,40+,50k-1L,4,Quick Commerce,Occasionally,4,2,Family/Friends,0.38,True,Other brand
CON00168,1-5 years,North,T2,30-34,25k-50k,4,Retail Chemist,Monthly,4,4,Pediatrician,0.832,False,DePURA Kids
CON00169,1-5 years,North,T2,25-29,50k-1L,4,Hospital Pharmacy,Occasionally,3,4,Online/Social media,0.436,False,Not currently buying
CON00170,0-12 months,East,T2,25-29,25k-50k,4,E-Pharmacy,Every 2-3 months,4,3,Pharmacist,0.663,False,Not currently buying
CON00171,0-12 months,North,T2,35-39,50k-1L,4,Retail Chemist,Occasionally,2,5,Gynecologist,0.468,False,Not currently buying
CON00172,1-5 years,Central,T3,30-34,<25k,3,Hospital Pharmacy,Monthly,4,5,Gynecologist,0.799,False,DePURA Kids
CON00173,1-5 years,North,T2,25-29,25k-50k,2,E-Pharmacy,One-time,3,4,Gynecologist,0.22,False,DePURA Kids
CON00174,1-5 years,South,T1,30-34,25k-50k,3,E-Pharmacy,Every 2-3 months,3,4,Family/Friends,0.631,True,Other brand
CON00175,0-12 months,West,T1,35-39,25k-50k,5,E-Pharmacy,Monthly,3,3,Pediatrician,0.916,True,Other brand
CON00176,0-12 months,North,T2,25-29,>1L,4,Quick Commerce,Monthly,2,5,Pediatrician,0.934,False,Other brand
CON00177,0-12 months,South,T1,30-34,50k-1L,5,Retail Chemist,Every 2-3 months,4,5,Pediatrician,0.661,False,Other brand
CON00178,6-12 years,West,T3,30-34,25k-50k,3,E-Pharmacy,Occasionally,5,3,Pediatrician,0.417,False,Other brand
CON00179,0-12 months,West,T3,40+,25k-50k,3,Quick Commerce,Every 2-3 months,3,4,Pediatrician,0.658,False,Other brand
CON00180,1-5 years,East,T2,25-29,25k-50k,2,Pharmacy Chain,Every 2-3 months,4,3,Gynecologist,0.507,False,Other brand
CON00181,0-12 months,West,T1,18-24,50k-1L,3,Hospital Pharmacy,Every 2-3 months,5,5,Pediatrician,0.634,False,Not currently buying
CON00182,1-5 years,East,T2,25-29,25k-50k,4,E-Pharmacy,Every 2-3 months,3,5,Online/Social media,0.584,False,DePURA Kids
CON00183,1-5 years,South,T2,40+,<25k,3,Pharmacy Chain,Every 2-3 months,4,4,Pediatrician,0.678,False,Not currently buying
CON00184,1-5 years,North,T2,18-24,<25k,4,Hospital Pharmacy,Every 2-3 months,4,4,Family/Friends,0.596,False,Not currently buying
CON00185,6-12 years,West,T1,18-24,50k-1L,4,Pharmacy Chain,Occasionally,2,4,Pediatrician,0.487,False,Other brand
CON00186,0-12 months,West,T1,30-34,<25k,4,Pharmacy Chain,Monthly,,4,Pediatrician,0.777,False,Not currently buying
CON00187,1-5 years,South,T2,35-39,25k-50k,3,Retail Chemist,Occasionally,5,5,Pediatrician,0.448,False,Not currently buying
CON00188,0-12 months,West,T1,30-34,>1L,2,Pharmacy Chain,Every 2-3 months,3,4,Family/Friends,0.548,False,Other brand
CON00189,0-12 months,West,T1,35-39,50k-1L,4,E-Pharmacy,Every 2-3 months,4,4,Gynecologist,0.578,False,Other brand
CON00190,1-5 years,South,T2,35-39,25k-50k,3,Retail Chemist,Every 2-3 months,4,3,Pediatrician,0.509,False,Other brand
CON00191,0-12 months,South,T1,35-39,>1L,3,Retail Chemist,Monthly,2,4,Pediatrician,0.804,False,Other brand
CON00192,0-12 months,South,T2,35-39,<25k,3,Pharmacy Chain,Every 2-3 months,4,5,Family/Friends,0.504,False,Not currently buying
CON00193,1-5 years,Central,T2,30-34,>1L,3,E-Pharmacy,Monthly,3,5,Pediatrician,0.875,False,Other brand
CON00194,13-18 years,South,T2,25-29,25k-50k,5,Pharmacy Chain,Every 2-3 months,3,4,Pediatrician,0.601,False,Other brand
CON00195,0-12 months,South,T1,30-34,25k-50k,4,Retail Chemist,Monthly,2,4,Family/Friends,0.881,False,DePURA Kids
CON00196,1-5 years,East,T1,40+,50k-1L,5,Pharmacy Chain,Every 2-3 months,2,5,Pediatrician,0.671,False,DePURA Kids
CON00197,0-12 months,South,T1,25-29,50k-1L,4,E-Pharmacy,Monthly,3,4,Pediatrician,0.971,False,DePURA Kids
CON00198,6-12 years,South,T1,40+,>1L,3,Retail Chemist,Monthly,1,5,Pediatrician,0.788,False,Other brand
CON00199,0-12 months,South,T1,35-39,>1L,3,Hospital Pharmacy,Occasionally,3,5,Online/Social media,0.409,False,DePURA Kids
CON00200,0-12 months,West,T1,35-39,50k-1L,5,E-Pharmacy,Monthly,2,5,Pediatrician,0.997,False,Other brand
CON00201,0-12 months,South,T1,25-29,25k-50k,5,Quick Commerce,Monthly,2,5,Pediatrician,0.728,False,DePURA Kids
CON00202,1-5 years,East,T2,25-29,>1L,3,E-Pharmacy,Monthly,3,2,Online/Social media,0.731,True,Other brand
CON00203,1-5 years,East,T3,30-34,>1L,3,Retail Chemist,Occasionally,3,4,Family/Friends,0.355,False,DePURA Kids
CON00204,6-12 years,North,T2,40+,25k-50k,3,Retail Chemist,Every 2-3 months,3,4,Pharmacist,0.66,False,Other brand
CON00205,6-12 years,West,T2,25-29,25k-50k,4,Retail Chemist,Every 2-3 months,2,3,Gynecologist,0.594,True,Other brand
CON00206,0-12 months,North,T2,18-24,50k-1L,3,Quick Commerce,Occasionally,5,4,Gynecologist,0.451,False,Not currently buying
CON00207,0-12 months,South,T1,18-24,>1L,3,Retail Chemist,Every 2-3 months,1,3,Gynecologist,0.698,False,Other brand
CON00208,1-5 years,Central,T3,25-29,25k-50k,5,Retail Chemist,Every 2-3 months,3,3,Pediatrician,0.688,False,Other brand
CON00209,1-5 years,East,T1,35-39,25k-50k,5,Retail Chemist,Every 2-3 months,2,3,Online/Social media,0.562,False,DePURA Kids
